X,Y,Northeast,North,Center,West_SLOPE,Northwest,SouthEast_,East,South,SouthWest
388750.442257210612297,1109590.918963253498077,,,,3.48787,,,,,
386647.240485563874245,1095001.494094491004944,,,,8.53482,,,,,
386446.107611551880836,1094108.381233602762222,,,,9.17064,,,,,
755802.635170608758926,977988.820209980010986,,,,10.37967,,,,,
760659.648950129747391,977289.427493438124657,,,,19.97680,,,,,
761507.072834640741348,977077.938648298382759,,,,17.65420,,,,,
762098.407808393239975,976663.737532809376717,,,,26.32259,,,,,
772160.42585301399231,974394.266732290387154,,,,0.00000,,,,,
772269.963582679629326,973539.695866137742996,,,,25.84166,,,,,
774853.649934381246567,973151.975721791386604,,,,33.27682,,,,,
774980.583989500999451,973158.702755898237228,,,,28.24667,,,,,
775073.86089238524437,973168.10662730038166,,,,27.29243,,,,,
775297.038713917136192,973177.248359575867653,,,,28.86081,,,,,
778712.311679795384407,972589.435367450118065,,,,26.37650,,,,,
781297.06988188624382,971048.175524935126305,,,,17.74641,,,,,
781335.538713917136192,970853.312992125749588,,,,19.73032,,,,,
781796.140091866254807,970411.758530184626579,,,,20.71012,,,,,
806810.454396322369576,971923.118110239505768,,,,11.85031,,,,,
807454.707020998001099,971874.839566931128502,,,,15.93811,,,,,
810469.888451442122459,971290.958005249500275,,,,15.37426,,,,,
810758.487860888242722,971366.014435693621635,,,,18.13686,,,,,
811056.51476377248764,971253.322506561875343,,,,23.58140,,,,,
813316.196850389242172,969670.625984251499176,,,,17.82397,,,,,
813809.623031497001648,969555.533792644739151,,,,24.85563,,,,,
814153.615485563874245,969724.145341202616692,,,,7.97351,,,,,
815736.456364825367928,970289.05085301399231,,,,17.14690,,,,,
817245.903871387243271,971072.655839890241623,,,,20.12156,,,,,
819850.165682420134544,972822.280839890241623,,,,6.08830,,,,,
820699.260170608758926,973001.278871387243271,,,,11.20455,,,,,
820716.415682420134544,972980.791338577866554,,,,8.66382,,,,,
822245.783464565873146,973016.875984251499176,,,,12.62991,,,,,
823711.028543308377266,972692.322834640741348,,,,14.03161,,,,,
823876.284776896238327,973039.838582679629326,,,,17.64234,,,,,
828528.302821516990662,971462.978346452116966,,,,30.34500,,,,,
835780.683727040886879,972238.071194231510162,,,,15.45273,,,,,
839343.960958003997803,972844.16174541413784,,,,5.01194,,,,,
840650.580708667635918,973155.304133862257004,,,,3.81238,,,,,
848667.631889760494232,971738.850393697619438,,,,11.56955,,,,,
848374.792650923132896,972070.266076117753983,,,,15.64961,,,,,
849424.946522310376167,971914.16174541413784,,,,36.36808,,,,,
849341.5501968562603,971852.873359575867653,,,,11.46770,,,,,
849809.534448817372322,971967.837270334362984,,,,18.81727,,,,,
850089.420275583863258,971838.797900259494781,,,,20.58648,,,,,
850753.495406821370125,970998.190944880247116,,,,25.61623,,,,,
851125.802165359258652,970967.06922572851181,,,,22.24669,,,,,
851381.806102365255356,970910.287073493003845,,,,21.76031,,,,,
851535.518700793385506,970910.560695543885231,,,,23.33146,,,,,
851989.187007874250412,970700.179461941123009,,,,21.35067,,,,,
852194.739829391241074,970234.931758522987366,,,,15.88146,,,,,
852982.632874011993408,970155.81003937125206,,,,18.02871,,,,,
853178.102690294384956,970038.020997375249863,,,,16.15172,,,,,
853286.38910761475563,969944.646981626749039,,,,22.50230,,,,,
853868.56003937125206,969822.384514436125755,,,,19.74879,,,,,
854127.185367450118065,969718.151902884244919,,,,16.42178,,,,,
854339.909448817372322,969617.552821516990662,,,,17.52073,,,,,
854511.896981626749039,969512.246719166636467,,,,17.05308,,,,,
860161.806758522987366,971360.171916007995605,,,,14.81391,,,,,
862100.092847764492035,972999.844488188624382,,,,24.52570,,,,,
940016.41732282936573,980886.60170604288578,,,15.88612,,,,,,
940132.30085301399231,980459.233923882246017,,,34.05444,,,,,,
940848.405839890241623,979716.456036746501923,,,37.98713,,,,,,
952496.546916007995605,976558.613517060875893,,,34.83584,,,,,,
954325.643044620752335,976082.666010499000549,,,19.51144,,,,,,
968916.529527559876442,977607.51476377248764,,,11.74909,,,,,,
981839.693897634744644,975224.474737539887428,,,26.48429,,,,,,
982538.248687669634819,975496.191929131746292,,,20.46315,,,,,,
982761.099081367254257,975645.804133862257004,,,26.77213,,,,,,
982967.987532809376717,975764.66732282936573,,,21.40624,,,,,,
983377.519028872251511,975965.898622050881386,,,18.20921,,,,,,
983747.24081364274025,976103.050524935126305,,,21.93976,,,,,,
985167.939632549881935,976621.233595803380013,,,24.52420,,,,,,
985564.896981626749039,976760.513123363256454,,,24.36487,,,,,,
985956.404855638742447,976866.002624675631523,,,26.01596,,,,,,
986627.655511811375618,977060.630249351263046,,,28.70513,,,,,,
989264.661089241504669,977874.894356951117516,,,20.95811,,,,,,
1369277.566601052880287,245569.242782145738602,,,,,,,,0.92602,
1367243.862204730510712,90895.002296581864357,,,,,,,,,
1012748.377624675631523,1298218.34744094312191,,12.68135,,,,,,,
1013302.950131237506866,1299083.540354326367378,,16.48400,,,,,,,
1013406.42585301399231,1299926.299212604761124,,15.77542,,,,,,,
1013461.822506561875343,1300395.166010499000549,,14.58796,,,,,,,
1013560.098753273487091,1300788.529199481010437,,12.37099,,,,,,,
1014588.374015748500824,1300955.786089241504669,,14.79867,,,,,,,
1015922.867782145738602,1299333.195209980010986,,26.04453,,,,,,,
1017919.671916007995605,1299870.868110239505768,,7.85748,,,,,,,
1018938.808727040886879,1301438.891404196619987,,8.66527,,,,,,,
1019584.940288707613945,1302345.774606302380562,,13.09922,,,,,,,
1020709.380577430129051,1302451.140748038887978,,12.48974,,,,,,,
1021142.270669296383858,1302616.134514436125755,,12.48974,,,,,,,
1037698.222769021987915,1312617.265748038887978,,11.85227,,,,,,,
1038110.475393697619438,1324625.976377949118614,,3.48846,,,,,,,
1038044.592847764492035,1325450.698490813374519,,5.47985,,,,,,,
1037904.325787395238876,1326689.01410761475563,,2.92624,,,,,,,
1037719.641076117753983,1328258.781824141740799,,6.08933,,,,,,,
1037485.10662730038166,1330069.577755898237228,,8.70783,,,,,,,
1037442.752624675631523,1330376.980314955115318,,19.04587,,,,,,,
1037248.645013123750687,1330682.83333332836628,,12.79685,,,,,,,
1037102.037073493003845,1331150.096456691622734,,10.59426,,,,,,,
1037620.393044620752335,1333518.288385823369026,,30.28247,,,,,,,
1037324.781496062874794,1336349.434711292386055,,7.85748,,,,,,,
1037309.536417320370674,1336506.448162734508514,,12.04414,,,,,,,
1037277.042650923132896,1336891.775262460112572,,13.28755,,,,,,,
1037376.981955379247665,1337350.232939630746841,,15.07230,,,,,,,
1037577.736220479011536,1337854.934055119752884,,17.20124,,,,,,,
1037569.542979001998901,1338099.562664046883583,,4.97500,,,,,,,
1036136.905839890241623,1346522.123031497001648,,23.59298,,,,,,,
1035486.189304456114769,1348268.381889760494232,,23.83739,,,,,,,
1035282.340879261493683,1348508.296587929129601,,21.12344,,,,,,,
1037575.63418635725975,1338206.843175858259201,,6.08933,,,,,,,
1034735.248359575867653,1353831.941272959113121,,21.95475,,,,,,,
1035816.583005249500275,1355377.984251961112022,,9.18221,,,,,,,
1039977.505577430129051,1368486.308727040886879,,25.11593,,,,,,,
1044935.023622050881386,1405501.206036746501923,,18.14663,,,,,,,
1053363.922900259494781,1422252.381233602762222,,0.00000,,,,,,,
1053953.356299206614494,1432533.205708667635918,,17.50195,,,,,,,
1055100.25984251499176,1437842.352690294384956,,11.01475,,,,,,,
1055511.296587929129601,1439842.401246726512909,,27.39411,,,,,,,
1056384.86023622751236,1443496.846784770488739,,16.99622,,,,,,,
1056408.118110239505768,1443596.707020998001099,,24.71983,,,,,,,
1056394.774278208613396,1443362.248359575867653,,22.93167,,,,,,,
1704136.604986876249313,1228709.218175858259201,,31.60568,,,,,,,
1705556.671916007995605,1201490.866141736507416,,13.16683,,,,,,,
1705062.886811017990112,1199840.336614176630974,,12.23996,,,,,,,
567896.253937005996704,1200239.49015748500824,,,,,7.42183,,,,
636072.85728345811367,1170428.394685044884682,,,,,5.29394,,,,
641562.313320204615593,1170136.88484251499176,,,,,5.65480,,,,
469932.196194231510162,1233962.46259842813015,,,,,12.85726,,,,
1688900.541010499000549,1510815.348097115755081,,9.52630,,,,,,,
1695729.214895009994507,1513672.529199481010437,,10.93207,,,,,,,
1697295.160761147737503,1514221.199475064873695,,14.07455,,,,,,,
1698802.487532809376717,1513136.504265084862709,,13.32751,,,,,,,
1699886.83759842813015,1512559.763123363256454,,22.18729,,,,,,,
1700503.589238852262497,1512553.256561681628227,,20.02029,,,,,,,
1701230.84744094312191,1512856.420931756496429,,15.20693,,,,,,,
1701398.15748031437397,1512840.77329395711422,,16.36198,,,,,,,
1701506.781167984008789,1512841.783464565873146,,12.79685,,,,,,,
1701612.818241477012634,1512811.933070868253708,,15.01169,,,,,,,
1702022.484580054879189,1512573.687992125749588,,19.47228,,,,,,,
1702072.211942255496979,1511255.048228353261948,,24.10137,,,,,,,
1702756.211614176630974,1510814.625328078866005,,19.10388,,,,,,,
1702941.433727040886879,1510334.805446192622185,,30.77739,,,,,,,
1703003.200131237506866,1509859.449475064873695,,19.31673,,,,,,,
1702969.316272959113121,1509412.336286082863808,,18.82025,,,,,,,
1704559.022309705615044,1508250.851049870252609,,10.26650,,,,,,,
1712494.616469815373421,1506017.967847764492035,14.74778,,,,,,,,
1712668.366469815373421,1505961.525918632745743,7.50742,,,,,,,,
1712955.431758522987366,1505760.028871387243271,6.46744,,,,,,,,
1713623.612532809376717,1504897.976377949118614,4.93636,,,,,,,,
1714249.803149610757828,1504292.421259835362434,9.40232,,,,,,,,
1715193.296916007995605,1503602.666994750499725,7.71003,,,,,,,,
1715473.344816267490387,1503160.576443567872047,10.54416,,,,,,,,
1717156.371719166636467,1502288.660761147737503,7.31174,,,,,,,,
1718780.15748031437397,1500347.612532809376717,14.25777,,,,,,,,
1718814.315944880247116,1500360.137795269489288,8.26992,,,,,,,,
1719548.919291332364082,1499606.296587929129601,8.38161,,,,,,,,
1722849.857939630746841,1495394.182414695620537,11.03861,,,,,,,,
515499.476049870252609,1392245.341535434126854,,,,,11.09191,,,,
516537.799540683627129,1393409.232939630746841,,,,,16.37589,,,,
554618.717191606760025,1419600.294291332364082,,,,,7.49050,,,,
556453.108267709612846,1419451.969160109758377,,,,,22.77004,,,,
556611.128280833363533,1419444.59251968562603,,,,,22.17832,,,,
558369.404855638742447,1418961.025918632745743,,,,,26.85668,,,,
558513.542650923132896,1418898.521981626749039,,,,,26.37960,,,,
559046.395013123750687,1418828.587270334362984,,,,,21.94586,,,,
559647.39829395711422,1419090.157152235507965,,,,,23.32406,,,,
560584.326771646738052,1419637.136482939124107,,,,,17.12274,,,,
561029.678149610757828,1419891.011482939124107,,,,,30.24474,,,,
561082.220472440123558,1419943.161417320370674,,,,,25.72802,,,,
561486.247703418135643,1419987.45833332836628,,,,,18.73352,,,,
563149.313320204615593,1420595.35662730038166,,,,,8.89793,,,,
564193.940288707613945,1421164.466863512992859,,,,,23.86251,,,,
565946.003280833363533,1424094.121062994003296,,,,,19.09809,,,,
566326.410104990005493,1424396.252624675631523,,,,,15.00527,,,,
567180.713910758495331,1424139.147965878248215,,,,,31.78137,,,,
567230.013123363256454,1424162.201115489006042,,,,,30.70727,,,,
567948.218832015991211,1423950.836614176630974,,,,,24.58742,,,,
568732.721784770488739,1424173.531496062874794,,,,,29.30939,,,,
568923.210301831364632,1424102.766076117753983,,,,,29.64695,,,,
569084.543963253498077,1424097.972769021987915,,,,,23.02051,,,,
569192.551181107759476,1424063.248031497001648,,,,,20.60644,,,,
569418.975721791386604,1424047.47736220061779,,,,,24.49555,,,,
570239.938976377248764,1424209.79232282936573,,,,,5.01055,,,,
570206.5,1424174.416994750499725,,,,,6.45282,,,,
573167.83759842813015,1422518.031824141740799,,,,,19.89881,,,,
573694.10662730038166,1422525.421587929129601,,,,,20.61225,,,,
573970.330052495002747,1422670.251312330365181,,,,,28.66677,,,,
573969.530183732509613,1422626.851049870252609,,,,,28.67613,,,,
574180.66732282936573,1422751.99507874250412,,,,,26.49217,,,,
574361.595800518989563,1422897.764435693621635,,,,,7.15983,,,,
574571.785761147737503,1423153.095144361257553,,,,,9.42034,,,,
574592.903871387243271,1423116.598097115755081,,,,,6.18596,,,,
574797.06988188624382,1423315.408464565873146,,,,,18.58553,,,,
575037.526902884244919,1423520.582349076867104,,,,,16.70755,,,,
575407.208005249500275,1423688.551181107759476,,,,,8.25133,,,,
577406.973097115755081,1425442.799868762493134,,,,,21.55597,,,,
577633.494422569870949,1425583.155511811375618,,,,,20.48201,,,,
577909.777230978012085,1425754.459317579865456,,,,,21.21933,,,,
578211.628280833363533,1425986.894028872251511,,,,,15.17478,,,,
578294.700787395238876,1426119.788057744503021,,,,,14.20810,,,,
578417.07414698600769,1426594.827755898237228,,,,,14.51872,,,,
579716.37992125749588,1427679.721456691622734,,,,,12.14645,,,,
580010.853674545884132,1427867.789698168635368,,,,,6.46007,,,,
580457.241797894239426,1428276.602034121751785,,,,,15.44865,,,,
580564.51410761475563,1428348.777230978012085,,,,,14.25428,,,,
581071.856955379247665,1428892.775918632745743,,,,,20.23002,,,,
581445.28248031437397,1429727.161089241504669,,,,,12.04635,,,,
582039.84251968562603,1430872.337270334362984,,,,,16.01976,,,,
582182.618110239505768,1431136.605314955115318,,,,,12.48432,,,,
640509.52263779938221,584009.845472440123558,,,,0.00000,,,,,
642909.544619426131248,585055.73523622751236,,,,21.09016,,,,,
643558.709317579865456,586378.697178483009338,,,,14.35907,,,,,
643763.12992125749588,586722.089895009994507,,,,9.75310,,,,,
646210.466207355260849,587363.616141736507416,,,,30.96983,,,,,
647031.386154860258102,586560.641732290387154,,,,23.06099,,,,,
647019.699475064873695,586005.859251961112022,,,,20.91463,,,,,
647073.045603677630424,585028.865485563874245,,,,14.58558,,,,,
648886.09251968562603,583942.590551182627678,,,,21.61227,,,,,
654544.541338577866554,581101.392388448119164,,,,4.61999,,,,,
655440.76771654188633,580404.950131237506866,,,,20.13756,,,,,
655989.213910758495331,580013.10662730038166,,,,17.00096,,,,,
656256.849081367254257,578506.375328078866005,,,,24.37264,,,,,
657169.184383198618889,577828.511482939124107,,,,19.86934,,,,,
658867.376640424132347,576264.145669296383858,,,,,,,,,17.36642
659319.18011811375618,575799.052821516990662,,,,,,,,,21.28268
659498.492454066872597,575618.282808393239975,,,,,,,,,19.24840
660928.692913383245468,574713.487532809376717,,,,,,,,,31.12750
661624.776902884244919,574554.417650923132896,,,,,,,,,17.94463
661737.452427819371223,574559.843832015991211,,,,,,,,,16.16062
662120.339238852262497,574628.538713917136192,,,,,,,,,13.69544
662537.138779520988464,574696.358595803380013,,,,,,,,,13.35927
663069.608923882246017,574690.684383198618889,,,,,,,,,3.89658
663202.946522310376167,574668.721456691622734,,,,,,,,,6.56667
663508.771325454115868,574518.719160109758377,,,,,,,,,16.50778
663779.01476377248764,574404.004593178629875,,,,,,,,,18.80712
1358559.065616801381111,183466.830708667635918,,,,,,,,15.02513,
1360991.205380573868752,182336.897309705615044,,,,,,,,21.12207,
1361028.045275583863258,182312.30085301399231,,,,,,,,21.25635,
1361197.033464565873146,182401.06988188624382,,,,,,,,19.60214,
1363816.15255905687809,179860.120406821370125,,,,,,,,10.38068,
1364154.639435693621635,179292.098753273487091,,,,,,,,19.30067,
1366865.665026247501373,177945.849737539887428,,,,,,,,31.43635,
1448119.669947504997253,160153.061679795384407,,,,,,,,13.94810,
1450148.649278208613396,159107.136811017990112,,,,,,,,10.58062,
1451822.041994750499725,158234.957349076867104,,,,,,,,11.31012,
1453318.769356951117516,157251.818241477012634,,,,,,,,17.29050,
1454624.755249351263046,157642.72736220061779,,,,,,,,3.33532,
1461029.796587929129601,154941.997703418135643,,,,,,,,17.64398,
1461347.831364825367928,155075.178149610757828,,,,,,,,22.65435,
1462002.58825458586216,155260.399606302380562,,,,,,,,20.73316,
1462360.834973752498627,155167.247375324368477,,,,,,,,16.96270,
582616.610564306378365,1431359.548884510993958,,,,,10.00520,,,,
583039.356955379247665,1431684.297572180628777,,,,,12.80175,,,,
583596.720144361257553,1432242.834645673632622,,,,,10.81462,,,,
584719.382874011993408,1432684.458989500999451,,,,,10.78099,,,,
586177.745734915137291,1433787.831692919135094,,,,,10.58962,,,,
586268.003608927130699,1433791.440616801381111,,,,,10.01889,,,,
587039.959973752498627,1433815.714238852262497,,,,,11.58978,,,,
587217.378608927130699,1433831.766732290387154,,,,,13.85763,,,,
588166.99507874250412,1433617.144356951117516,,,,,17.99399,,,,
593939.22244094312191,1435140.998359575867653,,,,,10.90653,,,,
594163.275918632745743,1435327.69914698600769,,,,,2.61659,,,,
620426.241797894239426,1422002.613188982009888,,,,,4.61871,,,,
620541.008858263492584,1421922.958989500999451,,,,,4.00504,,,,
621284.692257210612297,1421133.956364825367928,,,,,27.73775,,,,
627424.35170604288578,1419969.875,,,,,0.00000,,,,
627742.904855638742447,1419929.199475064873695,,,,,0.92567,,,,
628027.734580054879189,1419892.97736220061779,,,,,6.08663,,,,
628272.633530184626579,1419861.593503937125206,,,,,5.47742,,,,
628698.979658797383308,1419807.617125988006592,,,,,3.48691,,,,
630021.258202105760574,1419600.958989500999451,,,,,2.75792,,,,
632016.641076117753983,1418551.418307080864906,,,,,2.61659,,,,
633148.469488188624382,1418433.500328078866005,,,,,5.61308,,,,
633831.845800518989563,1418432.58333332836628,,,,,3.48691,,,,
634512.715551182627678,1418395.77329395711422,,,,,0.00000,,,,
474839.905183732509613,1223814.604330703616142,,,,,10.29749,,,,
477829.971784770488739,1224123.18503937125206,,,,,10.29749,,,,
489585.881889760494232,1221856.514435693621635,,,,,12.71097,,,,
1285795.734251961112022,936848.579396322369576,,,11.01817,,,,,,
1342139.882874011993408,1002967.715223103761673,,,3.70068,,,,,,
1342155.655839890241623,1002938.502952754497528,,,4.00810,,,,,,
1342814.171587929129601,1003433.268700793385506,,,10.08556,,,,,,
1343276.478674545884132,1003917.753280833363533,,,9.95309,,,,,,
1344239.405183732509613,1004591.989829391241074,,,2.07072,,,,,,
1344889.285433068871498,1005714.20767717063427,,,3.22077,,,,,,
1345091.160761147737503,1006704.672572180628777,,,25.69611,,,,,,
1345116.580380573868752,1007566.665354326367378,,,18.07157,,,,,,
1346886.916994750499725,1012165.025590553879738,,,8.33024,,,,,,
1346906.039041996002197,1012241.26771654188633,,,9.06893,,,,,,
1347748.503608927130699,1012432.690616801381111,,,11.20989,,,,,,
1348028.265091866254807,1012487.149606302380562,,,11.65663,,,,,,
1348057.698162734508514,1013401.874671921133995,,,9.38832,,,,,,
1348076.168307080864906,1013420.38976377248764,,,10.81431,,,,,,
1348410.279199481010437,1015997.331692919135094,,,2.61859,,,,,,
1348395.89337269961834,1016045.345144361257553,,,12.75892,,,,,,
1348808.221128612756729,1016978.063976377248764,,,15.52684,,,,,,
1348926.64271654188633,1017379.51476377248764,,,14.33832,,,,,,
1348835.744094491004944,1017968.054133862257004,,,10.75105,,,,,,
1349086.802165359258652,1018548.627296581864357,,,20.43180,,,,,,
