,X,Y,Long,Lat,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,X_new,Y_new
129,-123.026318248,45.7765045071,667731.4087,1477689.182,,,,,,18.46066,,,,-2075347.52868,2829153.44748
130,-123.037629454,45.7710050748,664784.2277,1475773.514,,,,,,33.24207,,,,-2076363.99219,2828814.28977
131,-123.01960222,45.8077757284,669794.4354,1489035.828,,,,,,24.34534,,,,-2073871.63208,2832340.2416
132,-123.035568643,45.8159209273,665815.7411,1492130.368,,,,,,18.05864,,,,-2074810.02615,2833556.94178
133,-122.987840594,45.8084532965,677899.1832,1489035.828,,,,,,19.57667,,,,-2071478.63715,2831719.74785
134,-122.954802312,45.806319355,686298.649,1488004.314,,,,,,9.5941,,,,-2069077.48291,2830772.5181
135,-123.126292668,45.7771384462,642238.2931,1478720.695,,,,,,12.49505,,,,-2082795.4885,2831408.18731
136,-123.139605817,45.7651158345,638701.6759,1474447.283,,,,,,34.8193,,,,-2084165.91931,2830418.85285
137,-123.0721779,45.8717177344,657121.5571,1512760.635,,,,,,24.93209,,,,-2075801.9923,2840302.75999
138,-123.070622054,45.8499231914,657268.9162,1504803.247,,,,,,23.44064,,,,-2076365.99446,2837946.32391
139,-123.316768638,45.8911728842,595083.397,1521896.897,,,,,,27.71174,,,,-2093427.00568,2847740.275
140,-123.414262867,45.8843486915,570179.7177,1520275.946,,,,,,30.566,,,,-2100906.02533,2849165.27433
141,-123.324422485,45.717549118,590957.3437,1458679.865,,,,,,10.1187,,,,-2099465.1136,2829419.0585
142,-123.330088109,45.7388408351,589778.4713,1466489.894,,,,,,9.16814,,,,-2099217.56733,2831812.09382
143,-123.38012969,45.7465167605,577105.593,1469731.793,,,,,,7.01503,,,,-2102712.15379,2833735.89329
144,-123.018256883,45.9088610593,671268.0259,1525875.591,,,,,,12.95717,,,,-2070622.92008,2843084.46625
145,-122.971955778,45.855679148,682467.3137,1506129.479,,,,,,22.92247,,,,-2068823.83067,2836407.96275
146,-122.998372882,45.7051458934,674067.8479,1451459.27,,,,,,15.0745,,,,-2075481.22188,2820935.27017
147,-123.015301856,45.7096348048,669794.4354,1453227.58,,,,,,2.61659,,,,-2076607.54381,2821783.7265
148,-122.985481415,45.70056898,677309.747,1449690.962,,,,,,8.27375,,,,-2074659.4232,2820165.73565
149,-122.971300439,45.692783801,680846.3642,1446743.781,,,,,,11.17322,,,,-2073840.78049,2819026.01414
150,-122.935726391,45.7109119516,690129.9843,1453080.22,,,,,,14.71562,,,,-2070616.01185,2820183.58958
151,-123.289134503,45.6088239527,598620.0143,1418745.561,,,,,,40.03176,,,,-2100249.74638,2817055.78912
152,-123.204615216,45.5509691558,619544.9994,1396936.423,,,,,,16.52345,,,,-2095739.14052,2809023.58079
153,-123.197838172,45.5414218897,621165.9489,1393399.804,,,,,,37.21289,,,,-2095530.91188,2807856.32938
154,-123.187577663,45.5311457845,623671.0527,1389568.47,,,,,,17.63775,,,,-2095084.32304,2806534.54092
155,-123.183104076,45.5215446292,624702.5661,1386031.852,,,,,,5.38211,,,,-2095050.10309,2805412.26344
156,-123.210797324,45.5233309741,617629.3317,1386916.007,,,,,,23.15413,,,,-2097069.782,2806213.51926
157,-123.152999323,45.4797773387,631923.1596,1370559.152,,,,,,18.13216,,,,-2094101.76359,2800295.07056
158,-123.169608841,45.5655214393,628681.2605,1401946.629,,,,,,9.35675,,,,-2092660.25541,2809803.55934
159,-123.374921013,45.4692625674,574895.2073,1368643.485,,,,,,21.32867,,,,-2111074.87169,2804084.10193
160,-123.366932418,45.4819948678,577105.593,1373211.615,,,,,,20.18229,,,,-2110074.01913,2805263.56912
161,-123.371100324,45.4964498474,576221.4387,1378516.541,,,,,,22.38841,,,,-2109930.08882,2806896.53467
162,-123.358097443,45.5125394053,579758.0559,1384263.544,,,,,,31.55793,,,,-2108447.89439,2808322.52103
163,-123.348077945,45.4610248288,581673.7236,1365401.585,,,,,,24.04994,,,,-2109322.17685,2802610.10837
164,-123.367511402,45.4589311013,576663.5159,1364812.149,,,,,,10.078,,,,-2110845.50106,2802818.45492
165,-123.203672306,45.4203869084,618218.7679,1349339.449,,,,,,24.39405,,,,-2099766.58401,2795079.73254
166,-123.183758261,45.4119512838,623228.9756,1346097.55,,,,,,6.79868,,,,-2098536.24542,2793740.24147
167,-123.193724558,45.4287044353,620871.2308,1352286.629,,,,,,23.04865,,,,-2098758.84667,2795746.97945
168,-123.214712961,45.4476267558,615713.6641,1359359.865,,,,,,26.41452,,,,-2099740.03545,2798228.39932
169,-123.204674078,45.4417947055,618218.7679,1357149.479,,,,,,25.92417,,,,-2099169.82153,2797384.7388
170,-123.09828111,45.464431086,645774.9103,1364517.432,,,,,,22.35733,,,,-2090476.70361,2797453.65848
171,-123.088499211,45.4513055261,648132.6551,1359654.583,,,,,,8.27375,,,,-2090152.8938,2795838.43772
172,-123.099655056,45.5715461106,646659.0646,1403567.58,,,,,,0.0,,,,-2087230.97627,2808907.52184
173,-123.052729035,45.5778364948,658742.5067,1405483.247,,,,,,0.0,,,,-2083518.6525,2808548.60333
174,-122.997947011,45.5757857832,672741.6164,1404304.375,,,,,,6.51059,,,,-2079477.61788,2807129.99886
175,-122.951160615,45.5585833476,684530.3404,1397673.218,,,,,,0.0,,,,-2076506.06378,2804271.88458
176,-123.089819771,45.5192034883,648574.7322,1384410.902,,,,,,0.0,,,,-2088129.83113,2803109.51583
177,-123.270669916,45.6201797691,603482.863,1422724.256,,,,,,30.24474,,,,-2098510.77911,2817857.9885
178,-123.392052247,45.5703361773,571800.6672,1405630.607,,,,,,27.29231,,,,-2109166.11587,2815234.28147
179,-123.280810988,45.3647892449,597735.86,1329740.696,,,,,,20.11443,,,,-2107306.51761,2790858.50256
180,-123.289456127,45.3775227904,595672.8333,1334456.185,,,,,,30.88012,,,,-2107554.89661,2792407.95308
181,-123.263537934,45.3514514534,602009.2725,1324730.487,,,,,,21.34528,,,,-2106428.6928,2789053.29152
182,-123.359876048,45.3511462736,577252.9521,1325467.283,,,,,,19.15584,,,,-2113675.16594,2791159.77774
183,-123.252478656,45.2756878584,603924.9401,1297026.987,,,,,,9.5941,,,,-2107980.67511,2780727.79403
184,-123.280620541,45.2175919039,595967.5514,1276102.002,,,,,,12.9056,,,,-2111926.70603,2775155.74688
185,-123.276205272,45.1970723065,596851.7057,1268586.689,,,,,,21.38029,,,,-2112240.42602,2772868.74636
186,-123.293919232,45.1610579237,591841.498,1255619.094,,,,,,16.6337,,,,-2114709.02179,2769420.77162
187,-123.319772293,45.1519392875,585062.9817,1252524.554,,,,,,7.97132,,,,-2116944.23029,2769023.62636
188,-123.34098289,45.1999536855,580200.1331,1270207.639,,,,,,22.55139,,,,-2117026.80037,2774617.4883
