X,Y,Long,Lat,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
-120.012918539958932,42.19841264459302,1444374.0500000000,163887.6395000000,na,Ttf,"Tuffs and flows, tuff rhyolite and dacitic, tuffaceous sedimentary rocks",vlc.M.nvr.nd.nd.nd.fel,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,felsic composition lithologies,sv.MIX.Lnd.CGnd.End,sedimentary/volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
-120.003942839168246,42.199463756485002,1446804.8400000001,164285.4050000000,na,Ttf,"Tuffs and flows, tuff rhyolite and dacitic, tuffaceous sedimentary rocks",vlc.M.nvr.nd.nd.nd.fel,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,felsic composition lithologies,sv.MIX.Lnd.CGnd.End,sedimentary/volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
-120.006682127624103,42.203476625333067,1446053.5040000000,165743.8786000000,na,Ttf,"Tuffs and flows, tuff rhyolite and dacitic, tuffaceous sedimentary rocks",vlc.M.nvr.nd.nd.nd.fel,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,felsic composition lithologies,sv.MIX.Lnd.CGnd.End,sedimentary/volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
-120.015411880270307,42.202666667843637,1443689.0100000000,165434.5054000000,na,Ttf,"Tuffs and flows, tuff rhyolite and dacitic, tuffaceous sedimentary rocks",vlc.M.nvr.nd.nd.nd.fel,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,felsic composition lithologies,sv.MIX.Lnd.CGnd.End,sedimentary/volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
-120.02968205679565,42.202243448380962,1439821.8450000000,165257.7208000000,na,Ttf,"Tuffs and flows, tuff rhyolite and dacitic, tuffaceous sedimentary rocks",vlc.M.nvr.nd.nd.nd.fel,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,felsic composition lithologies,sv.MIX.Lnd.CGnd.End,sedimentary/volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
-120.029422097658141,42.183088074313353,1439932.3350000000,158274.7260000000,na,Ttf,"Tuffs and flows, tuff rhyolite and dacitic, tuffaceous sedimentary rocks",vlc.M.nvr.nd.nd.nd.fel,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,felsic composition lithologies,sv.MIX.Lnd.CGnd.End,sedimentary/volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
-120.028759835955384,42.18441876892323,1440109.1200000001,158760.8839000000,na,Ttf,"Tuffs and flows, tuff rhyolite and dacitic, tuffaceous sedimentary rocks",vlc.M.nvr.nd.nd.nd.fel,volcaniclastic rocks,Miocene,Neogene volcanic rocks,No data,No data,no data,felsic composition lithologies,sv.MIX.Lnd.CGnd.End,sedimentary/volcanic rocks,mixed lithologies,no data,no data,no data,volcanic
-119.99673113634195,42.184277400332689,1448793.6660000000,158760.8839000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.9903884770915,42.182551091289582,1450517.3180000000,158142.1375000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.985600161697974,42.180164910640443,1451821.1050000000,157280.3122000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
