,UNIQUE_ID,DATE,X_1,Y_1,X,Y
1318,LS_2459,11/16/04 0:00,786602.3068,239022.3601,239756.3908,72854.01769
1319,LS_2460,11/16/04 0:00,787036.6825,239066.113,239888.7885,72867.35357
1320,LS_2461,11/16/04 0:00,787558.2957,238550.4252,240047.7762,72710.17193
1321,LS_2462,11/17/04 0:00,787990.3254,238783.977,240179.4589,72781.35852
1322,LS_2464,11/16/04 0:00,792389.3545,240299.73,241520.283,73243.36005
1323,LS_2465,11/16/04 0:00,794553.7244,239949.6255,242179.9829,73136.64819
1324,LS_2467,11/17/04 0:00,798094.2947,238845.8369,243259.1488,72800.21342
1325,LS_2468,11/17/04 0:00,798290.602,238603.603,243318.9833,72726.38052
1326,LS_2472,12/1/05 0:00,777370.9381,1317330.706,236942.6695,401522.412
1327,LS_2473,12/1/05 0:00,778368.6725,1313350.729,237246.779,400309.315
1328,LS_2474,1/1/05 0:00,465302.4584,1635251.673,141824.1939,498424.7259
1329,LS_2475,1/1/02 0:00,474665.8837,1635012.033,144678.166,498351.6836
1330,LS_2476,1/1/04 0:00,753704.9373,1349866.51,229729.2722,411439.3254
1331,LS_2478,1/1/03 0:00,751891.0974,1376697.937,229176.4138,419617.5446
1332,LS_2479,1/1/03 0:00,746550.3708,1401848.587,227548.5603,427283.463
1333,LS_2582,12/26/01 0:00,728054.5939,1407462.591,221911.0473,428994.6115
1334,LS_10455,8/2/00 0:00,349885.2381,763833.1096,106645.024,232816.3393
1335,LS_10456,8/2/00 0:00,349961.0537,759504.7256,106668.1326,231497.0478
1336,LS_10457,8/2/00 0:00,350511.1275,758548.0734,106835.7951,231205.4602
1337,LS_10458,8/2/00 0:00,357123.6047,748896.0763,108851.2782,228263.5314
1338,LS_10461,8/1/00 0:00,327382.8918,607366.2375,99786.30861,185125.2351
1339,LS_10462,1/27/00 0:00,321769.2772,584382.8081,98075.27883,178119.8856
1340,LS_10463,6/7/00 0:00,304836.2756,570963.614,92914.09978,174029.7151
1341,LS_10464,2/9/00 0:00,286751.9382,550338.6583,87401.99356,167743.2284
1342,LS_10465,3/2/00 0:00,266087.2497,496222.979,81103.3963,151248.7688
1343,LS_10466,6/13/00 0:00,244904.9628,385056.0409,74647.03505,117365.085
1344,LS_10467,2/9/00 0:00,246430.4986,382455.7698,75112.01838,116572.5224
1345,LS_10468,2/9/00 0:00,247774.3773,378139.4048,75521.63262,115256.8943
1346,LS_10469,2/9/00 0:00,248512.9872,375760.6823,75746.76092,114531.8596
1347,LS_10470,2/9/00 0:00,250072.8959,370181.7301,76222.22111,112831.3949
1348,LS_10471,2/9/00 0:00,250173.2268,369608.4601,76252.80197,112656.6622
1349,LS_10472,6/13/00 0:00,250427.3549,369290.0134,76330.26022,112559.5997
1350,LS_10473,2/9/00 0:00,251379.0184,368512.2088,76620.32726,112322.5248
1351,LS_10476,2/10/00 0:00,261399.9296,351084.7345,79674.70109,107010.6305
1352,LS_10477,2/10/00 0:00,262548.945,348490.4984,80024.921,106219.9073
1353,LS_10478,6/13/00 0:00,262618.0552,347887.1243,80045.98579,106035.9989
1354,LS_10479,6/13/00 0:00,264138.5595,344370.1734,80509.43551,104964.0322
1355,LS_10480,2/10/00 0:00,264166.0596,336072.8176,80517.81754,102434.9981
1356,LS_10481,2/10/00 0:00,262999.0465,335397.0455,80162.11194,102229.0227
1357,LS_10482,2/10/00 0:00,262905.8864,334494.0342,80133.71674,101953.7849
1358,LS_10483,2/10/00 0:00,262888.8478,332442.7341,80128.52337,101328.5486
1359,LS_10484,2/10/00 0:00,264876.204,331019.3752,80734.26956,100894.7088
1360,LS_10485,6/13/00 0:00,264391.8775,328226.8395,80586.64684,100043.5439
1361,LS_10486,2/10/00 0:00,264525.6957,327184.6089,80627.43463,99725.87198
1362,LS_10487,3/1/00 0:00,265343.943,324984.2683,80876.83641,99055.20815
1363,LS_10488,6/13/00 0:00,251851.4382,273061.7989,76764.32082,83229.23897
1364,LS_10495,3/1/00 0:00,263602.2875,196588.9574,80345.9798,59920.31613
1365,LS_10496,6/5/00 0:00,262655.8719,193147.5805,80057.51232,58871.38442
1366,LS_10497,3/1/00 0:00,263157.3818,192051.8281,80210.37254,58537.39908
1367,LS_10498,6/14/00 0:00,265488.6741,172237.592,80920.95046,52498.01972
1368,LS_10499,3/1/00 0:00,266567.2257,169351.183,81249.69299,51618.24223
1369,LS_10500,3/1/00 0:00,268349.3305,163563.1839,81792.87855,49854.06005
1370,LS_10501,3/1/00 0:00,268230.4505,161762.6731,81756.64393,49305.26434
1371,LS_10502,6/14/00 0:00,269799.357,152500.9189,82234.84665,46482.28157
1372,LS_10503,3/1/00 0:00,274257.8046,145781.9201,83593.78152,44434.33067
1373,LS_10504,1/27/00 0:00,319327.2432,574036.6384,97330.94684,174966.373
1374,LS_10505,1/27/00 0:00,321299.9791,547679.315,97932.23676,166932.6606
1375,LS_10506,2/8/00 0:00,333412.0787,519126.8911,101624.0048,158229.8815
1376,LS_10507,2/8/00 0:00,345301.4831,490946.3976,105247.8954,149640.4668
1377,LS_10508,2/8/00 0:00,345707.8469,490229.2327,105371.7551,149421.8749
1378,LS_10509,2/8/00 0:00,345833.6119,489772.8051,105410.0883,149282.7558
1379,LS_10510,2/8/00 0:00,349151.0037,489357.1247,106421.2293,149156.0564
1380,LS_10511,2/8/00 0:00,351045.936,487977.1431,106998.8047,148735.438
1381,LS_10513,1/26/00 0:00,363800.5909,490400.9389,110886.4237,149474.211
1382,LS_10514,6/7/00 0:00,387115.7501,479919.5461,117992.8844,146279.4823
1383,LS_10515,6/7/00 0:00,403294.2604,477310.5178,122924.0945,145484.2505
1384,LS_10520,2/8/00 0:00,430479.6041,460990.3634,131210.1875,140509.8673
1385,LS_10521,2/7/00 0:00,435212.0944,461292.6476,132652.6506,140602.0035
1386,LS_10522,2/7/00 0:00,435645.8041,461219.0949,132784.8453,140579.5846
1387,LS_10523,2/7/00 0:00,438262.7238,461127.4348,133582.4825,140551.6466
1388,LS_10524,2/7/00 0:00,439847.0824,461915.1674,134065.395,140791.7475
1389,LS_10525,1/27/00 0:00,441327.9816,462644.1652,134516.7731,141013.9461
1390,LS_10527,1/25/00 0:00,446139.4959,466159.5808,135983.3227,142085.4448
1391,LS_10529,2/7/00 0:00,480888.3096,496614.0166,146574.7615,151367.9571
1392,LS_10534,6/13/00 0:00,411273.9116,711857.2127,125356.2923,216974.0854
1393,LS_10535,6/6/00 0:00,411297.0886,711793.4452,125363.3566,216954.649
1394,LS_10537,6/6/00 0:00,432257.6247,711283.1191,131752.1282,216799.1016
1395,LS_10538,6/6/00 0:00,436702.9959,717446.0862,133107.0774,218677.5741
1396,LS_10539,3/15/00 0:00,455090.7118,713624.5152,138711.6534,217512.7592
1397,LS_10540,3/15/00 0:00,461872.8546,713526.8754,140778.8506,217482.9986
1398,LS_10542,3/14/00 0:00,476569.3432,709760.7959,145258.3405,216335.0975
1399,LS_10543,3/14/00 0:00,482751.9066,709144.1334,147142.7858,216147.1388
1400,LS_10544,3/14/00 0:00,487527.0066,708311.1851,148598.2364,215893.2561
1401,LS_10545,8/3/00 0:00,538205.9637,711851.5995,164045.183,216972.3745
