X,Y,UNIQUE_ID,DATE,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
480643.389399999985,1240540.627,LS_1069,11/4/10 0:00,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
480966.123299999977,1240392.911,LS_1070,11/4/10 0:00,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
484903.912399999972,1238156.222,LS_1071,11/4/10 0:00,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
486527.6182,1237274.334,LS_1072,11/4/10 0:00,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
486714.8836,1236996.044,LS_1073,11/4/10 0:00,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
489904.0101,1234895.737,LS_1074,11/4/10 0:00,na,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
502537.7723,1230361.139,LS_1075,11/4/10 0:00,na,Qs,Quaternary sediments,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
518027.2261,1224281.039,LS_1078,11/4/10 0:00,na,Tid,Diabase intrusive rocks,intr.E.cig.dlf.nd.nd.bst,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,no data,basanite,no data,no data,no data,no data,no data,no data,plutonic
517783.475199999986,1223999.968,LS_1079,11/4/10 0:00,na,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
517371.999499999976,1223808.957,LS_1080,11/4/10 0:00,na,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
518932.2071,1223090.783,LS_1081,11/4/10 0:00,na,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
420994.716299999971,1260295.093,LS_1082,9/15/10 0:00,Sheet 1 and 2,Qls,Landslide debris,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
420641.1461,1258791.082,LS_1083,9/15/10 0:00,Sheet 1 and 2,Tcsbm,Mudstone and siltstone of Cannery Hill,srm.E.ytg.can.nd.nd.fine,marine sedimentary rocks,Eocene,Yachats-Tillamook Group,Basalt of Cannery Hill,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,sedimentary
420390.8339,1258311.702,LS_1084,9/15/10 0:00,Sheet 1 and 2,Tcsbm,Mudstone and siltstone of Cannery Hill,srm.E.ytg.can.nd.nd.fine,marine sedimentary rocks,Eocene,Yachats-Tillamook Group,Basalt of Cannery Hill,No data,no data,fine grained sediments,no data,no data,no data,no data,no data,no data,sedimentary
420049.581599999976,1258035.933,LS_1085,9/15/10 0:00,Sheet 1 and 2,Tcsbv,Basalt of Cannery Hill,vlc.E.ytg.can.nd.nd.bas,volcaniclastic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cannery Hill,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
