X,Y,nlcd_2011_,nlcd_2001_,nlcd_2006_
-123.3480779,45.46102483,43,43,43
-123.3675114,45.4589311,42,42,42
-123.2036723,45.42038691,42,42,42
-123.1837583,45.41195128,43,43,43
-123.1937246,45.42870444,43,43,43
-123.214713,45.44762676,43,43,43
-123.2046741,45.44179471,42,42,42
-123.0982811,45.46443109,43,43,43
-123.0884992,45.45130553,52,42,71
-123.0996551,45.57154611,81,81,81
-123.052729,45.57783649,82,82,82
-122.997947,45.57578578,82,82,82
-122.9511606,45.55858335,82,82,82
-123.0898198,45.51920349,24,24,24
-123.2706699,45.62017977,42,42,42
-123.3920522,45.57033618,42,42,42
-123.280811,45.36478924,52,43,71
-123.2894561,45.37752279,41,41,41
-123.2635379,45.35145145,43,43,43
-123.359876,45.35114627,42,42,42
-123.2524787,45.27568786,52,42,71
-123.2806205,45.2175919,43,43,43
-123.2762053,45.19707231,41,41,41
-123.2939192,45.16105792,41,41,41
-123.3197723,45.15193929,42,42,42
-123.3409829,45.19995369,52,52,52
-123.3625613,45.20832108,43,43,43
-123.1553737,45.23144195,21,21,21
-123.0695775,45.21962266,43,43,43
-123.0764984,45.25950276,43,43,43
-123.0774504,45.28091339,42,42,42
-123.0354483,45.27658024,82,82,82
-123.0362439,45.29475922,43,43,43
-123.0644502,45.2977799,52,71,52
-123.046389,45.39522129,43,43,43
-123.036199,45.38533504,42,71,52
-123.0974671,45.35689303,42,42,42
-123.1051975,45.35025053,71,71,71
-122.8905175,45.30350677,42,42,42
-122.8890952,45.28291467,42,42,42
-122.9049176,45.27773633,81,81,81
-123.1748772,45.09592219,43,43,43
-123.1695118,45.0661187,43,43,43
-123.1674082,45.04513702,81,81,81
-123.1690668,45.00667782,42,42,42
-123.3299894,44.97454077,52,81,81
-123.1321933,45.08638485,43,43,43
-123.1465813,44.96351547,43,43,43
-123.1414609,44.951095,52,42,42
-123.0931988,44.90325123,43,43,43
-123.2997248,44.90206908,42,42,42
-123.3255164,44.95280894,81,81,81
-122.9370978,44.89896682,81,81,81
-123.0086935,45.13482096,82,82,82
-122.7255151,44.96065998,41,41,41
-122.6888619,44.92496601,42,42,42
-122.6810388,44.89842498,42,42,42
-122.5834165,44.95279456,52,42,52
-122.5669456,44.97007319,42,42,42
-122.4747321,44.92154559,42,42,42
-122.4003381,44.90904542,42,42,42
-122.422762,44.88158297,71,42,42
-122.4533593,45.01409872,42,42,42
-122.3697028,45.05389096,42,42,42
-122.359533,45.03909494,71,42,42
-122.3414291,45.02563747,42,42,42
-122.3830746,45.09693606,42,42,42
-122.5607973,45.24648947,41,41,41
-122.5497517,45.24668483,52,52,52
-122.5228908,45.19676095,42,42,42
-122.5027514,45.19498074,52,42,42
-122.5123906,45.18345739,52,42,71
-122.4827344,45.19674388,52,52,52
-122.4675646,45.19345305,71,71,71
-122.4976307,45.27953187,43,43,43
-122.6048502,45.26983266,42,42,42
-122.8538136,45.28635314,81,81,81
-122.8722937,45.27107084,42,42,42
-122.8665946,45.30383964,41,41,41
-122.8636453,45.33016328,43,43,43
-122.6799759,45.34297593,81,81,81
-122.6924868,45.32783554,42,42,42
-122.6976664,45.35825836,42,42,42
-122.0505457,45.28919155,42,42,42
-122.03082,45.30364616,42,42,42
-122.0212516,45.32222279,42,42,42
-122.0277343,45.33916953,42,42,42
-122.0714009,45.27968584,42,42,42
-122.0948246,45.29072181,42,42,42
-122.1200693,45.29463099,42,42,42
-122.1559484,45.28348036,42,52,52
-122.0557759,45.25931526,42,42,42
-121.9922544,45.21188985,42,42,42
-121.9681297,45.21077794,42,42,42
-122.2392591,45.17864447,42,42,42
-122.2505258,45.15292419,42,42,42
-122.3246726,45.08648232,42,42,42
-122.3600405,45.09585708,52,52,52
-122.4450795,45.09162183,42,42,42
-122.1960192,45.27864465,42,42,42
-122.188094,45.42069452,42,42,42
-122.179397,45.39882101,52,52,52
-122.5231482,45.43452275,21,21,21
-122.6392231,45.24791132,42,42,42
-122.7809117,45.22250165,81,81,81
-122.6708838,45.1273634,82,82,82
-122.6812532,45.21660794,82,82,82
-122.3512817,45.16697505,42,42,42
-122.3633169,45.13555239,42,42,42
-122.4359856,45.1194564,42,42,42
-122.496545,45.10210367,42,42,42
-122.6639961,45.05011777,81,81,81
-122.6324147,45.06277125,42,42,42
-122.6083918,45.06321104,42,42,42
-122.5699256,45.05183748,42,42,42
-121.9988062,45.38780084,42,42,42
-122.0493708,45.39565498,42,42,42
-122.1337157,45.45766042,42,42,42
-122.1607461,45.45089205,42,42,42
-122.0688798,45.44648701,42,42,42
-122.1151564,45.4430168,42,42,42
-122.8639172,45.4600512,23,23,23
-118.9820137,45.89232506,52,52,52
-118.9801337,45.89127127,52,52,52
-118.9784094,45.89088561,52,52,52
-118.9752852,45.89096625,52,52,52
-118.9703437,45.89090206,52,52,52
-118.9684694,45.88639627,52,52,52
-118.9612109,45.87897376,82,82,82
-118.9888728,45.89532025,52,52,52
-118.994455,45.89412013,82,82,82
-119.0024111,45.89167828,82,82,82
-118.952913,45.878017,52,52,52
-118.9304585,45.87221788,82,82,82
-118.9251451,45.86996661,52,52,52
-118.9231136,45.86818311,52,52,52
-118.919449,45.86589313,52,52,52
-118.9102128,45.86134757,52,52,52
-118.9046287,45.85642697,52,52,52
-118.8958843,45.84988836,82,82,82
-118.9247305,45.87559319,52,52,52
-118.91455,45.87690975,52,52,52
-118.9027921,45.87880961,52,52,52
-118.9402319,45.87307472,82,82,82
-118.9443545,45.87131255,52,52,52
-123.6146503,45.52860779,41,41,41
-123.6108223,45.51998259,43,43,43
-123.6081052,45.53835789,43,43,43
-123.6125506,45.53763343,43,43,43
-123.6135772,45.54227269,41,41,41
-123.6000511,45.54414765,43,43,43
-123.4443942,45.6068208,71,71,71
-123.4392487,45.60919239,52,42,42
-123.4366959,45.61161987,42,42,42
-123.43876,45.61653706,42,42,42
-123.4381045,45.62061359,42,42,42
-123.4698987,45.61587161,42,42,42
-123.467005,45.61333931,52,52,52
-123.4696221,45.6121821,42,42,42
-123.474475,45.61920945,43,43,43
-123.4712333,45.6216552,52,52,52
-123.4625376,45.61042263,42,42,42
-123.4674578,45.60369257,52,52,52
-123.3797235,45.61510131,52,52,52
-123.3769926,45.61401719,52,52,52
-123.3835936,45.61306685,42,42,42
-123.3929083,45.61114007,42,42,42
-123.3960848,45.60906174,42,42,42
-123.3891001,45.60923452,42,42,42
-123.3934036,45.6072496,43,43,43
-123.3937033,45.62008875,42,42,42
-123.4028408,45.62319514,43,43,43
-123.4065038,45.62219522,52,52,52
-123.4130771,45.62239526,42,42,42
-123.3931727,45.63531158,42,42,42
-123.3947825,45.6329691,42,42,42
-123.3916488,45.62904725,42,42,42
-123.3703751,45.61290728,42,42,42
-123.3748413,45.61243399,42,42,42
-123.3643163,45.61087437,42,42,42
-123.3617903,45.61911669,42,42,42
-123.3510348,45.60768437,52,71,52
-123.3657369,45.60471932,42,42,42
-123.3845447,45.60619595,42,42,42
-123.4028103,45.60374419,42,42,42
-123.4050879,45.60611152,42,42,42
-123.4178405,45.61754993,42,42,42
-122.9904253,43.32106659,42,42,42
-122.9881554,43.31838892,42,42,42
-122.9742407,43.31518006,42,42,42
-122.966678,43.30692006,42,42,42
-122.9608238,43.30383553,42,42,42
-122.9535084,43.2995096,42,42,42
-122.9988865,43.32087883,42,42,42
-122.982557,43.32554469,42,42,42
-122.9762675,43.32404664,42,42,42
-122.9588287,43.3138815,71,71,71
-122.9512746,43.31186417,42,42,42
-122.9487306,43.31664797,42,42,42
-122.9477586,43.31927579,42,42,42
-122.9374677,43.31937816,42,42,42
-122.9421012,43.31491298,42,42,42
-122.9450441,43.3117574,52,71,52
-122.9482666,43.30732263,42,52,52
-122.9607958,43.32741736,42,42,42
-122.9654128,43.33065033,42,42,42
-120.3482956,42.25624021,42,42,42
-120.3496942,42.25157473,42,42,42
-120.3510081,42.24812143,31,31,31
-120.3541981,42.24467062,52,52,52
-120.356894,42.24309815,31,31,31
-120.3607359,42.23970861,52,52,52
-120.3601728,42.23625284,42,42,42
-120.3477674,42.23902474,52,52,52
-120.3480828,42.24338946,42,42,42
-120.3441598,42.24623291,52,52,52
-120.3358542,42.24034121,42,42,42
-120.3402054,42.26089621,42,42,42
-120.3382336,42.26592445,52,52,52
-120.3356285,42.26355659,52,52,52
-120.3456598,42.26599568,52,52,52
-120.328512,42.26954675,52,52,52
-120.3255807,42.26717814,52,52,52
-120.3281175,42.26475748,52,52,52
-120.3296042,42.25839514,42,42,42
-120.3192128,42.24043647,42,42,42
-120.3245024,42.24486991,42,42,42
-120.3266266,42.24378219,42,42,42
-120.3340352,42.24930955,42,42,42
-120.010234,42.18755071,52,52,52
-120.015059,42.18551111,52,52,52
-120.0191388,42.18492281,42,42,42
-120.0174772,42.18891613,52,52,52
-120.0210377,42.19220483,52,52,52
-120.0148141,42.19581455,52,52,52
-120.0129185,42.19841264,52,52,52
-120.0039428,42.19946376,52,52,52
-120.0066821,42.20347663,52,52,52
-120.0154119,42.20266667,52,52,52
-120.0296821,42.20224345,52,52,52
-120.0294221,42.18308807,52,52,52
-120.0287598,42.18441877,52,52,52
-119.9967311,42.1842774,52,52,52
-119.9903885,42.18255109,52,52,52
-119.9856002,42.18016491,52,52,52
-119.9787693,42.17843566,52,52,52
-119.9755081,42.17860205,52,52,52
-119.9786578,42.18195078,52,52,52
-119.9703979,42.18524528,52,52,52
-119.9709196,42.19088496,52,52,52
-119.9672248,42.19395856,52,52,52
-119.9648281,42.19770511,52,52,52
-119.966677,42.19134947,42,42,42
-119.9635787,42.19145569,52,52,52
-123.3610128,45.64443753,42,42,42
-123.3661409,45.64152283,43,43,43
-123.3636983,45.63933915,42,42,42
-123.3592916,45.64981543,42,42,42
-123.3586859,45.65328638,52,52,52
-123.3591285,45.65697426,71,42,42
-123.3293249,45.65048317,42,42,42
-123.3336932,45.65140825,43,43,43
-123.3210867,45.64467935,43,43,43
-123.3206647,45.6395963,43,43,43
-123.3190846,45.63557192,71,71,71
-123.3179038,45.64499858,42,42,42
-123.3170386,45.63968367,42,42,42
-123.3138244,45.63581982,52,52,52
-123.3158553,45.63316371,52,52,52
-123.3179661,45.63214274,52,52,52
-123.3254869,45.6480293,43,43,43
-123.3074129,45.65677103,43,43,43
-123.3152604,45.65458163,52,31,71
-123.3117512,45.65884966,52,71,52
-123.1999914,45.62064089,52,52,52
-123.1939028,45.61793161,43,43,43
-123.1832311,45.62254236,52,52,52
-123.1846186,45.62820983,52,42,52
-123.187225,45.63221224,43,43,43
-123.2043579,45.63266628,52,43,52
-123.1775042,45.61830817,42,42,42
-123.1746054,45.61728314,42,42,42
-123.1704317,45.61671157,42,42,42
-123.1662139,45.61705032,71,43,71
-123.185011,45.61067843,43,43,43
-123.1928966,45.61304363,42,42,42
-123.1882191,45.62018448,42,42,42
-123.723694,45.06551232,42,42,42
-123.7452207,45.06624561,52,43,71
-123.7623741,45.06072852,52,52,52
-123.7634079,45.05627092,21,21,21
-123.7436687,45.05069862,52,31,31
-123.7073925,45.05862487,42,42,42
-123.7042218,45.06010789,41,41,41
-123.7480745,45.07902616,52,71,52
-123.7575547,45.07554477,43,43,43
-123.769078,45.07340017,42,42,42
-120.6106665,44.31468473,52,52,52
-120.5993472,44.31251244,52,52,52
-120.5960811,44.3291278,52,52,52
-120.5854389,44.3294394,42,42,42
-120.5780103,44.33277934,42,42,42
-120.62239,44.30776097,52,52,52
-120.6033092,44.30862862,52,52,52
-120.5964628,44.30432987,52,52,52
-120.5838097,44.312343,42,42,42
-120.6217713,44.33528757,42,42,42
-120.6260783,44.33473724,52,52,52
-120.6344301,44.32987735,42,42,42
-123.5599549,45.85903761,21,21,21
-123.5549468,45.8546206,41,41,41
-123.5596079,45.86717126,43,43,43
-123.5197134,45.85947277,42,42,42
-123.5232728,45.85950247,43,43,43
-123.5136186,45.85908363,42,42,42
-123.5153786,45.85624946,43,43,43
-123.5065852,45.8556867,42,42,42
-123.50336,45.85540544,42,42,42
-123.4971854,45.85513876,42,42,42
-123.4959735,45.85353267,42,42,42
-123.4929958,45.85300229,52,42,31
-123.497904,45.84232742,52,52,71
-123.5025463,45.84317889,42,71,52
-123.5260342,45.84112079,43,43,43
-123.5098932,45.83334707,41,41,41
-123.5092091,45.82857473,42,42,42
-123.5058132,45.82666089,43,43,43
-123.503802,45.8213768,43,43,43
-123.4806804,45.8236639,31,42,42
-123.4709055,45.81079077,42,42,42
-123.4718524,45.80731081,42,42,42
-123.4668995,45.80373764,42,42,42
-123.4646068,45.8013097,21,21,21
-123.461728,45.80095798,42,42,42
-123.4990295,45.8064375,42,42,42
-123.4950588,45.80344668,42,42,42
-123.4876744,45.79981512,42,42,42
-123.517977,45.80734627,42,42,42
-123.5048374,45.79980126,71,42,42
-123.5150938,45.82342727,42,42,42
-123.4631796,45.82571934,71,42,42
-123.4665355,45.82521017,42,71,52
-123.4587625,45.82583076,42,71,71
-123.404954,45.77834275,42,42,42
-123.4160646,45.78043165,42,42,42
-123.4175705,45.77766581,42,42,42
-123.4341827,45.77209771,42,42,42
-123.4102281,45.76614643,42,42,42
-123.4078093,45.76456939,42,42,42
-123.4004458,45.76456987,42,42,42
-123.3976904,45.76318285,42,42,42
-123.3978635,45.7683322,42,42,42
-123.4003954,45.77214998,42,42,42
-123.3816618,45.77176297,42,42,42
-123.3843974,45.77102878,42,42,42
-123.4049663,45.77173369,42,42,42
-123.3258676,45.76989393,42,42,42
-123.298547,45.76569881,52,52,52
-123.2892139,45.76616368,42,42,42
-123.3199348,45.7584566,42,42,42
-123.2958434,45.7564265,52,42,52
-123.3499105,45.77604198,42,42,42
-123.3573379,45.77555813,42,42,42
-123.3596675,45.77362183,42,42,42
-123.3426835,45.77882442,43,43,43
-123.3378428,45.77730466,42,42,42
-123.3270967,45.7755028,43,43,43
-123.34493,45.76470394,42,42,42
-123.3482386,45.75455905,52,42,52
-123.3530414,45.76232419,71,42,42
-123.3402233,45.7553598,71,42,42
-123.2864813,45.7616209,42,42,42
-123.232431,45.68472364,71,71,71
-123.2370883,45.68261408,42,42,42
-123.2159514,45.68195429,42,42,42
-123.2181635,45.68117541,52,52,52
-123.2417204,45.69087265,52,52,52
-123.2490875,45.68572827,52,71,52
-123.247462,45.68067348,43,43,43
-123.1809416,45.69355298,43,43,43
-123.1849796,45.69109597,42,42,42
-123.1768112,45.6958907,43,43,43
-123.1791147,45.69705059,52,52,52
-121.2499677,44.73852998,52,52,52
-121.2535961,44.73626315,52,52,52
-121.2587048,44.73010639,52,52,52
-121.2434452,44.73396471,11,11,11
-121.2359498,44.71958389,52,52,52
-121.2346257,44.71571228,52,52,52
-121.2537536,44.7154674,52,52,52
-121.2436658,44.71116791,52,52,52
-121.2658604,44.71799444,52,52,52
-121.2201574,44.70767978,52,52,52
-121.2152588,44.71031724,52,52,52
-121.2140886,44.71196141,52,52,52
-121.2221554,44.7387077,52,52,52
-121.2566489,44.74212383,52,52,52
-121.261946,44.73736011,52,52,52
-123.1952517,43.26412251,71,71,71
-123.1977716,43.26108943,81,81,81
-123.1992718,43.25753482,81,81,81
-123.1997769,43.25400412,81,81,81
-123.1912945,43.25918224,71,71,71
-123.1878213,43.26502856,52,52,52
-123.2001512,43.28444891,81,81,81
-123.1988197,43.28253963,81,81,81
-123.1890006,43.28392772,81,81,81
-123.1756188,43.27247832,71,71,71
-123.1760768,43.25669469,42,42,42
-122.900021,43.29473315,42,42,42
-122.9013971,43.29591692,42,42,42
-122.8867525,43.29519773,42,42,42
-122.8817199,43.2960324,42,42,42
-122.8760259,43.29694149,42,42,42
-122.8709268,43.29820168,42,42,42
-122.8657781,43.30031188,42,42,42
-122.8615609,43.30288754,42,42,42
-122.8540639,43.30443993,42,42,42
-122.8488334,43.30661171,42,42,42
-122.9112755,43.30613865,42,42,42
-122.905866,43.3100154,42,42,42
-122.9104385,43.30184985,42,42,42
-122.9045492,43.30203667,42,42,42
-122.9077994,43.28577129,42,42,42
-122.9044907,43.28608478,42,42,42
-122.888608,43.28757606,42,42,42
-122.8601046,43.29121125,42,42,42
-122.8165869,43.31920147,42,42,42
-122.8055305,43.32224928,42,42,42
-122.793925,43.32400308,42,42,42
-122.7903836,43.32807858,42,42,42
-122.7952243,43.31888144,42,42,42
-122.8086169,43.31718178,42,42,42
-122.8101631,43.31742298,42,42,42
-122.8209429,43.31798947,42,42,42
-122.6964162,43.31834772,42,42,42
-122.7009776,43.32493048,42,42,42
-122.686019,43.31115059,42,42,42
-122.6817967,43.30468201,42,42,42
-122.7049775,43.3184834,42,42,42
-122.7152484,43.31991915,42,42,42
-122.7173528,43.32515462,42,42,42
-122.7251812,43.32342293,42,42,42
-122.7242248,43.31780096,42,42,42
-122.7208535,43.33442635,42,42,42
-122.5259057,43.31164926,42,42,42
-122.5336171,43.31126742,42,42,42
-122.527693,43.31537739,42,42,42
-122.5203547,43.31945182,42,42,42
-122.5167992,43.31994021,42,42,42
-122.5050246,43.31808869,42,42,42
-122.5032084,43.32091099,42,42,42
-122.4996512,43.30890488,42,42,42
-122.4953797,43.30782843,42,42,42
-122.4889181,43.30582019,42,42,42
-122.482487,43.3047208,52,52,52
-122.705962,44.85820302,42,42,42
-122.7040487,44.85720865,42,42,42
-122.6979692,44.85198806,42,42,42
-122.6931926,44.84965324,52,52,52
-122.6892887,44.84784746,71,71,71
-122.6832442,44.84577886,42,42,42
-122.6867709,44.84207352,42,42,42
-122.6923857,44.84178504,42,42,42
-122.6958671,44.84596382,42,42,42
-122.7062543,44.84788817,42,42,42
-122.7156014,44.84934643,52,52,52
-122.7156312,44.85237801,82,82,82
-122.7158521,44.8559517,43,43,43
-122.7254475,44.85940564,71,71,71
-122.6832896,44.8697923,71,71,71
-122.6821778,44.86514389,42,42,42
-122.6774543,44.86195844,52,52,52
-122.6709895,44.86007904,52,52,52
-122.6709895,44.86007904,52,52,52
-120.4022866,45.21072557,52,52,52
-120.3680502,45.1830525,52,52,52
-120.3406039,45.19029158,52,52,52
-120.3063022,45.19460353,52,52,52
-120.2837288,45.17904681,52,52,52
-120.2838425,45.14849788,52,52,52
-120.3160692,45.1422496,52,52,52
-120.3605743,45.15540418,52,52,52
-120.3934703,45.15543904,52,52,52
-120.2385617,45.3127833,52,52,52
-120.1162648,45.30905012,52,52,52
-120.0922694,45.30121045,52,52,52
-120.0663684,45.27347841,52,52,52
-120.0329224,45.24813453,52,52,52
-120.0161693,45.28152347,52,52,52
-119.9550448,45.20803355,52,52,52
-119.9595578,45.16538248,52,52,52
-119.9118622,45.13702518,52,52,52
-119.8728165,45.19986005,52,52,52
-119.8778876,45.17467179,52,52,52
-119.8836961,45.14415282,52,52,52
-119.9097572,45.07445846,42,42,42
-120.0588726,45.08530563,52,52,52
-120.0951916,45.07961903,52,52,52
-120.193832,45.06440391,52,52,52
-120.6648055,44.91384734,52,52,52
-120.6713409,44.93141746,52,52,52
-120.6912931,44.92629414,52,52,52
-120.6789115,44.89564042,52,52,52
-120.6771734,44.88497395,52,52,52
-120.6700125,44.88559091,52,52,52
-120.6623392,44.88596568,52,52,52
-120.6584497,44.89809509,52,52,52
-120.6587259,44.87421035,52,52,52
-120.6978288,44.8908812,52,52,52
-120.693328,44.87088409,52,52,52
-120.6728654,44.86994661,52,52,52
-120.6200291,44.87837925,52,52,52
-120.6101437,44.88093515,52,52,52
-120.5833733,44.88265495,52,52,52
-120.5690589,44.89139369,52,52,52
-120.5610697,44.91722219,52,52,52
-120.5766152,44.93079164,52,52,52
-120.6092224,44.93537248,52,52,52
-119.957376,45.59627476,52,52,52
-119.9545558,45.58414143,71,71,71
-119.9428055,45.56760238,52,52,52
-119.936836,45.56042273,21,21,21
-119.936836,45.56042273,21,21,21
-119.943008,45.54663495,82,82,82
-119.9520006,45.54425336,82,82,82
-119.9888722,45.56841891,52,52,52
-119.9996444,45.57985858,52,52,52
-119.9963959,45.5565736,52,52,52
-119.9895411,45.55133207,52,52,52
-119.9884448,45.59714199,52,52,52
-119.974929,45.60253615,52,52,52
-121.6121263,45.62912997,41,41,41
-121.6231857,45.62041854,71,71,71
-121.6366736,45.61240968,42,42,42
-121.5681049,45.61220739,82,82,82
-121.6123238,45.65724807,52,52,52
-121.6785128,45.63987382,11,31,31
-121.6794749,45.63622787,11,11,11
-122.6620974,45.33404591,41,41,41
-122.611959,45.31689926,41,41,41
-122.60146,45.31648308,52,42,42
-122.5907412,45.31473608,43,43,43
-122.6051415,45.29956168,71,43,43
-122.6020247,45.29416142,42,42,42
-122.6685434,45.29500154,22,22,22
-122.6790496,45.30026192,21,21,21
-122.6753338,45.31112368,81,81,81
-122.6857063,45.31274817,42,42,42
-122.6761755,45.31523079,81,81,81
-122.6740758,45.32339446,81,81,81
-122.7307159,45.31674432,42,42,42
-122.7304536,45.32778418,81,81,81
-122.7240707,45.3361521,23,41,41
-122.7204028,45.34810564,81,81,81
-124.0029753,43.02283823,43,43,43
-124.0092861,43.01475131,52,52,52
-124.0136443,43.0214112,52,52,52
-124.0014102,42.99023885,43,43,43
-123.983949,42.98847848,71,71,71
-123.9778459,42.99158137,71,71,71
-124.0025222,43.003676,42,42,42
-124.0126668,42.9989884,42,42,42
-123.9892635,43.02314551,42,42,42
-124.0071725,43.03241631,52,52,52
-124.0158614,43.03105118,43,43,43
-123.9912412,43.04298839,52,71,52
-123.9829326,43.04810214,52,52,52
-123.984663,43.03797461,52,42,42
-123.9952433,43.02927,52,52,52
-123.954233,43.04110301,42,42,42
-123.9570423,43.03239914,42,42,42
-123.9294345,42.99210621,52,52,52
