,UNIQUE_ID,Long,Lat,DATE,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxwspdi,mindewpti,minhumidity,minpressurei,mintempi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,G_ROCK_TYP,GN_LITH_TY,nlcd_2011_,nlcd_2001_,nlcd_2006_,Root_Moist,Precip_Mon,Soil_Moist,Soil_Moist_Depth,Soil_Temp,Vegetation
0,LS_1,-120.5475817,45.71766743,6/20/07 0:00,,65.16701,,,,,,,,53,70,30.01,91,21,44,20,29.85,57,0,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,basalt,volcanic,52,52,52,238.6554,11.3664,21.4749,21.470001,287.58,0.33800003
1,LS_3,-120.406054,45.69114335,6/20/07 0:00,,43.184,,,,,,,,53,70,30.01,91,21,44,20,29.85,57,0,Tf,Frenchman Springs Member,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,basalt,volcanic,11,11,11,223.16739,13.2992,19.6309,19.630001,288.81998,0.33800003
2,LS_11,-122.1427822,45.57304517,8/13/08 0:00,,,,,,22.57697,,,,59,93,30.06,87,12,54,37,29.93,56,0,Tgr2l,"Columbia River Basalt Group, Grande Ronde Basalt, R2 Low MgO Chemical Type",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,52,52,52,350.06287,70.784,17.742199,17.83,286.53003,0.87500006
3,LS_12,-122.0965562,45.58101599,8/13/08 0:00,,,,,,30.41615,,,,57,77,30.06,64,0,57,77,30.06,64,0,Tgr2l,"Columbia River Basalt Group, Grande Ronde Basalt, R2 Low MgO Chemical Type",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,basalt,volcanic,42,42,42,350.06287,70.784,17.742199,17.83,286.53003,0.87500006
4,LS_14,-121.9844807,45.61695475,8/12/08 0:00,,,,,,43.85429,,,,61,78,30.01,78,17,61,54,29.98,68,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,mixed lithologies,volcanic,42,42,42,410.37646,60.5696,20.3662,20.4,287.53003,0.88400006
5,LS_16,-121.9307484,45.63895431,8/25/08 0:00,,41.56283,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0,Tec,Eagle Creek Formation,volcaniclastic rocks,Miocene,John Day/Clarno Group,Eagle Creek Formation,mixed lithologies,volcanic,42,42,42,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005
6,LS_20,-121.9068968,45.64798881,8/12/08 0:00,,31.50932,,,,,,,,61,78,30.01,78,17,61,54,29.98,68,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,42,42,42,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005
7,LS_21,-121.8979919,45.65569626,8/25/08 0:00,,15.88403,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,42,42,42,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005
8,LS_22,-121.8907218,45.6625396,8/25/08 0:00,,11.37468,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,41,41,41,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005
9,LS_23,-121.8884224,45.66461322,8/25/08 0:00,,8.88109,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0,Qls,Landslide,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,mixed grained sediments,surficial sediments,21,21,21,459.36206,55.9104,22.746199,22.98,285.18005,0.88500005
10,LS_25,-121.8289535,45.69540994,8/29/07 0:00,,14.10884,,,,,,,,50,56,29.97,66,23,50,56,29.97,66,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,mixed grained sediments,surficial sediments,42,42,42,474.07208,26.175999,22.9003,23.329998,282.77,0.88600004
11,LS_26,-121.8261087,45.69601236,8/25/08 0:00,,28.69745,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,mixed grained sediments,surficial sediments,21,21,21,461.70447,53.9904,23.059,23.57,283.92004,0.88500005
12,LS_27,-121.8190551,45.69731118,8/25/08 0:00,,11.20641,,,,,,,,55,82,29.96,66,10,52,60,29.93,60,0,Tia,Intrusive andesite,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,andesite,plutonic,22,22,22,461.70447,53.9904,23.059,23.57,283.92004,0.88500005
13,LS_28,-121.8057224,45.69679511,8/13/08 0:00,,12.04414,,,,,,,,57,77,30.06,64,0,57,77,30.06,64,0,Tia,Intrusive andesite,intrusive rocks,Miocene,Late Western Cascade Volcanics,No data,andesite,plutonic,22,22,22,450.9781,38.7584,22.067799,22.449999,284.55005,0.87500006
14,LS_64,-120.9455832,44.79338589,1/5/06 0:00,,,10.30521,,,,,,,36,76,30.37,58,16,31,43,30.19,34,0,Tjt,John Day Formation,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,tuff,volcanic,52,52,52,318.4029,50.4064,28.1512,29.66,274.28,0.10700001
15,LS_65,-120.9739198,44.77078033,1/5/06 0:00,,,14.80612,,,,,,,36,76,30.37,58,16,31,43,30.19,34,0,Tjt,John Day Formation,volcaniclastic rocks,Eocene/Oligocene,John Day/Clarno Group,John Day Formation,tuff,volcanic,52,52,52,318.4029,50.4064,28.1512,29.66,274.28,0.10700001
16,LS_122,-120.8236054,44.15016805,6/26/07 0:00,,,22.45039,,,,,,,32,52,30.18,84,22,21,14,29.95,37,0,Tcr1,Basalt of Columbia River Group,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,basalt,volcanic,52,52,52,480.3706,33.3056,22.2325,22.24,286.15997,0.42700002
17,LS_126,-120.8178498,44.14081053,6/25/07 0:00,,,21.6744,,,,,,,31,92,30.25,73,14,12,11,30.15,29,0,Tcr1,Basalt of Columbia River Group,volcanic rocks,Miocene,Columbia River Basalt Group,Prineville Basalt,basalt,volcanic,52,52,52,480.3706,33.3056,22.2325,22.24,286.15997,0.42700002
18,LS_133,-123.8384537,45.27279619,8/9/06 0:00,,,,,,20.13242,,,,61,78,30.17,82,15,55,42,30.05,59,T,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,basalt,volcanic,43,43,43,520.9504,6.9248,25.2606,25.26,284.56,0.98600006
19,LS_134,-124.0568325,44.73933408,8/23/07 0:00,,,,26.71875,,,,,,59,100,30.02,66,22,50,77,29.94,50,0,Qtc,Coastal Terrace Deposits,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,mixed grained sediments,surficial sediments,31,31,31,547.7489,31.8464,26.929901,26.93,287.16,0.98100007
20,LS_135,-124.0613965,44.698745,8/23/07 0:00,,,,8.25358,,,,,,59,100,30.02,66,22,50,77,29.94,50,0,Qtc,Coastal Terrace Deposits,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,mixed grained sediments,surficial sediments,42,42,42,547.7489,31.8464,26.929901,26.93,287.16,0.98100007
21,LS_136,-124.0630212,44.69646272,8/23/07 0:00,,,,11.30903,,,,,,59,100,30.02,66,22,50,77,29.94,50,0,Qtc,Coastal Terrace Deposits,sediments,Quaternary,Quaternary surficial deposits,Coastal terrace deposits,mixed grained sediments,surficial sediments,22,22,22,,,,,,
22,LS_139,-122.608609,44.41147073,1/19/06 0:00,,,,44.7248,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,757.98047,572.46716,36.7072,37.41,276.55,0.57100004
23,LS_142,-122.5673164,44.40211626,1/19/06 0:00,,,,37.30086,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,757.98047,572.46716,36.7072,37.41,276.55,0.57100004
24,LS_143,-122.5571518,44.40132338,1/19/06 0:00,,,,33.27682,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.0813,675.1744,30.172798,30.87,276.35,0.558
25,LS_144,-122.5566668,44.40135056,1/19/06 0:00,,,,28.24667,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.0813,675.1744,30.172798,30.87,276.35,0.558
26,LS_145,-122.5563109,44.40138276,1/19/06 0:00,,,,27.29243,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.0813,675.1744,30.172798,30.87,276.35,0.558
27,LS_146,-122.5554579,44.40142316,1/19/06 0:00,,,,28.86081,,,,,,45,82,30.25,51,14,39,62,30.15,44,8.42,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.0813,675.1744,30.172798,30.87,276.35,0.558
28,LS_148,-122.5326713,44.39603086,1/23/06 0:00,,,,21.96024,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Qtl,Quaternary lower terrace,sediments,Quaternary,Quaternary surficial deposits,Terrace deposits,mixed grained sediments,surficial sediments,21,21,21,631.0813,675.1744,30.172798,30.87,276.35,0.558
29,LS_149,-122.5324443,44.39550011,1/23/06 0:00,,,,25.8194,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.0813,675.1744,30.172798,30.87,276.35,0.558
30,LS_150,-122.5303887,44.39414844,1/23/06 0:00,,,,24.04032,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.0813,675.1744,30.172798,30.87,276.35,0.558
