UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,G_ROCK_TYP,nlcd_2006_,Slope
LS_29,-121.79371,45.69402706,8/25/08,Rockfall,251.0800018,303703,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,43,17.52113
LS_30,-121.7839085,45.69191567,8/26/08,Rockfall,479.6499939,614945,Qal,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,mixed grained sediments,41,14.44345
LS_31,-121.7429663,45.69211854,9/30/08,Rockfall,0,0,Piqd,"Pliocene quartz diorite, Wind Mountain and Shell Rock quartz diorite",intrusive rocks,Pliocene,Early High Cascade Volcanics,No data,No data,intermediate composition lithologies,81,14.17402
LS_32,-121.7281846,45.69038849,9/30/08,Rockfall,0,0,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,basalt,41,23.35937
LS_33,-121.6935268,45.68794399,9/30/08,Rockfall,0,137662,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,basalt,41,13.15671
LS_34,-121.6848932,45.69279704,9/30/08,Rockfall,157.8249969,294308,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,basalt,42,12.16279
LS_35,-121.6822366,45.69384007,9/30/08,Rockfall,157.8249969,78530.20313,Tgn1,"Grande Ronde Basalt, lower flows, normal magnetic polarity",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Normal magnetostratigraphic unit 1,basalt,41,11.65302
LS_36,-121.6415888,45.69968137,9/4/08,Rockfall,251.0800018,112461,Tgr2,"Grande Ronde Basalt, lower flows, reverse magnetic polarity",volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,Reversed magnetostratigraphic unit 2,basalt,81,18.64649
LS_37,-121.6166258,45.70438541,9/5/08,Rockfall,432.1499939,3048680,Af,Modern fill and construction material,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,no data,mixed grained sediments,42,43.89226
LS_38,-121.5853875,45.70555269,9/4/08,Rockfall,367.1900024,148086,Af,Modern fill and construction material,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,no data,mixed grained sediments,81,16.484
LS_39,-121.5838565,45.70585526,9/4/08,Rockfall,240.5599976,1168700,Tpbr,Basalt of Ruthton Point,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,basalt,21,24.78677
LS_40,-121.5795806,45.70713019,9/5/08,Rockfall,0,0,Tpbr,Basalt of Ruthton Point,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,basalt,81,0
LS_41,-121.5818164,45.7063542,9/4/08,Rockfall,240.5599976,108998,Tpbr,Basalt of Ruthton Point,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,basalt,81,10.302
LS_42,-121.5814325,45.70668865,9/5/08,Rockfall,0,0,Tpbr,Basalt of Ruthton Point,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,basalt,81,15.63011
LS_43,-121.5790399,45.70695421,9/4/08,Rockfall,240.5599976,173132,Tpbr,Basalt of Ruthton Point,volcanic rocks,Pliocene,Late High Cascade Volcanics,basalt of Ruthton Point,no data,basalt,81,8.90185
LS_44,-121.5691935,45.70720629,9/5/08,Rockfall,0,0,Tpbh,Basalt of Hood River,volcanic rocks,Pliocene,Late High Cascade Volcanics,No data,no data,basalt,42,20.63618
LS_45,-119.0560138,45.95175388,10/16/07,Rockfall,10914.40039,0,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,90,20.91788
LS_46,-119.0507857,45.95368278,10/16/07,Rockfall,10038,410484,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,22,21.40004
LS_47,-119.029317,45.96076856,10/16/07,Rockfall,2384,273977,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,Frenchman Springs Member,basalt,42,14.44345
