UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos
LS_86,-121.7939275,42.2282203,11/6/07,Rockfall,2799.439941,250121
LS_87,-121.7907938,42.22223764,11/6/07,Rockfall,9916.299805,116338
LS_88,-119.9742973,44.80423175,11/29/07,Rockfall,2109.330078,690680
LS_89,-119.9439587,44.80670343,11/29/07,Rockfall,1810.579956,1503190
LS_90,-119.904649,44.81110191,11/29/07,Rockfall,1810.579956,343498
LS_91,-119.8145274,44.83418829,11/29/07,Rockfall,1515.390015,308064
LS_92,-119.7147732,44.81250545,11/27/07,Rockfall,1810.579956,579352
LS_93,-119.7124604,44.81135983,11/27/07,Rockfall,1810.579956,229717
LS_94,-119.7118067,44.81021594,11/27/07,Rockfall,1810.579956,246877
LS_95,-119.7127301,44.7995417,11/29/07,Rockfall,1413.089966,884451
LS_96,-119.6389528,44.63000176,11/29/07,Rockfall,4589.120117,1293920
LS_97,-118.1193388,45.34335312,9/13/07,Rockfall,0,0
LS_98,-117.9879927,43.79550621,11/30/07,Rockfall,3891.439941,136555
LS_99,-117.8302802,43.78166854,11/30/07,Rockfall,1688.290039,308706
LS_100,-117.8261602,43.78027304,12/6/07,Rockfall,806.4400024,74015.60156
LS_101,-117.8211763,43.77808689,11/30/07,Rockfall,1569.319946,435949
LS_102,-117.5447477,43.8803418,11/30/07,Rockfall,2745.199951,124559
LS_103,-117.5425454,43.88139883,11/30/07,Rockfall,2581.879883,230665
LS_104,-118.4014468,45.8534433,10/18/07,Rockfall,717.6099854,53483.39844
LS_105,-118.4014519,45.85331405,10/18/07,Rockfall,717.6099854,85465.20313
LS_106,-118.3997842,45.85782968,10/18/07,Rockfall,1762.030029,1018030
LS_107,-118.3974175,45.86763846,10/18/07,Rockfall,465.4500122,95239.89844
LS_108,-118.3975238,45.86772137,10/18/07,Rockfall,465.4500122,80717.79688
LS_109,-117.7457691,45.59445586,11/15/07,Rockfall,196.8500061,31097.40039
LS_110,-117.7450339,45.59274004,11/15/07,Rockfall,1273.949951,63600.69922
LS_111,-117.7418294,45.5906918,11/15/07,Rockfall,287.1669922,72687.29688
LS_112,-117.7406691,45.58953176,11/15/07,Rockfall,287.1669922,85355.39844
LS_113,-117.740039,45.58854302,11/15/07,Rockfall,287.1669922,140729
LS_114,-117.7332305,45.58792727,11/15/07,Rockfall,0,0
LS_115,-116.9554504,44.90436623,11/15/07,Rockfall,2346.199951,238628
LS_116,-116.9324331,44.91576978,11/15/07,Rockfall,2346.199951,245075
LS_117,-116.9314148,44.91637999,11/15/07,Rockfall,2346.199951,188647
LS_118,-120.8749773,44.19199806,6/26/07,Rockfall,3812.530029,130902
LS_119,-120.8749037,44.19153821,6/26/07,Rockfall,1771.030029,503708
LS_120,-120.8740832,44.19015553,6/26/07,Rockfall,1771.030029,70268.89844
LS_121,-120.8324523,44.15920169,6/26/07,Rockfall,2683.820068,157989
LS_122,-120.8260514,44.14980857,6/26/07,Fill Failure,0,0
LS_123,-120.8208174,44.13441855,6/25/07,Rockfall,1798.25,1491940
LS_124,-120.8216486,44.13599504,6/25/07,Rockfall,1798.25,224518
LS_125,-120.8207275,44.1378582,6/25/07,Rockfall,1798.25,348817
LS_126,-120.8178384,44.13869547,6/25/07,Fill Failure,0,0
LS_127,-120.8169462,44.13840486,6/25/07,Rockfall,2388.629883,75601
LS_128,-120.8155882,44.13765587,6/25/07,Rockfall,0,73357.29688
LS_129,-120.7899599,44.11131039,6/25/07,Rockfall,1798.25,110335
LS_130,-120.7888136,44.1118602,6/25/07,Rockfall,1798.25,23314.59961
LS_131,-120.7881297,44.11207028,6/25/07,Rockfall,1798.25,34915.69922
LS_132,-122.6129241,44.13850874,8/22/07,Rockfall,3324.860107,699447
LS_133,-123.8353199,45.27041742,8/9/06,Fill Failure,0,186953
LS_134,-124.0560686,44.7392364,8/23/07,Landslide,20000,3599110
LS_135,-124.0617211,44.69899955,8/23/07,Landslide,0,0
LS_136,-124.062345,44.69652776,8/23/07,Landslide,0,0
LS_137,-122.6305155,44.41325669,1/19/06,Rockfall,0,384024
LS_138,-122.6118613,44.41168271,1/19/06,Rockfall,0,150310
LS_139,-122.6085979,44.4111624,1/19/06,Landslide,0,0
LS_140,-122.6062946,44.41006801,1/19/06,Rockfall,315.6499939,33755.69922
LS_141,-122.5675752,44.40454509,1/19/06,Rockfall,887.8099976,522624
LS_142,-122.5670737,44.40220879,1/19/06,Fill Failure,0,0
LS_143,-122.5571518,44.40132338,1/19/06,Landslide,0,0
LS_144,-122.5566668,44.40135056,1/19/06,Landslide,0,0
LS_145,-122.5563109,44.40138276,1/19/06,Landslide,0,0
LS_146,-122.5554579,44.40142316,1/19/06,Landslide,0,0
LS_147,-122.5423358,44.40004474,1/23/06,Rockfall,143.0399933,122147
LS_148,-122.5323012,44.39599336,1/23/06,Landslide,0,0
LS_149,-122.5321356,44.39546151,1/23/06,Landslide,0,0
LS_150,-122.5303318,44.39428168,1/23/06,Fill Failure,0,0
LS_151,-122.4347767,44.40008411,1/23/06,Landslide,0,0
LS_152,-122.4323075,44.39999331,1/23/06,Landslide,0,0
LS_153,-122.4207196,44.3985859,1/23/06,Fill Failure,0,0
LS_154,-122.4196222,44.39881028,1/23/06,Fill Failure,0,0
LS_155,-122.418472,44.39852029,1/23/06,Fill Failure,0,0
LS_156,-122.4096861,44.39432367,2/13/06,Fill Failure,0,0
LS_157,-122.4077883,44.39403946,2/13/06,Fill Failure,0,0
LS_158,-122.4064873,44.39452386,2/13/06,Fill Failure,0,0
LS_159,-122.4004821,44.396174,2/13/06,Fill Failure,0,0
LS_160,-122.3947768,44.39841905,2/13/06,Rockfall,0,0
LS_161,-122.3849671,44.40338254,2/13/06,Fill Failure,0,0
LS_162,-122.3817341,44.40392695,2/13/06,Fill Failure,0,0
LS_163,-122.3816666,44.40387183,2/13/06,Fill Failure,0,0
LS_164,-122.3758182,44.40406682,2/13/06,Fill Failure,0,0
LS_165,-122.3701836,44.4032683,2/13/06,Rockfall,47.68000031,77366.5
LS_166,-122.3695816,44.40423183,2/13/06,Rockfall,47.68000031,188200
LS_167,-122.351646,44.40019585,8/17/07,Rockfall,0,0
LS_168,-122.3239645,44.40276723,1/16/08,Fill Failure,0,0
LS_169,-122.310382,44.40464606,1/16/08,Fill Failure,0,0
LS_170,-122.3054087,44.40557844,1/16/08,Fill Failure,0,0
LS_171,-122.2746154,44.40217266,10/1/08,Landslide,0,0
LS_172,-122.2757632,44.40306436,1/16/08,Rockfall,0,0
LS_173,-122.2717322,44.40269841,10/1/08,Rockfall,0,0
LS_174,-122.2720463,44.40252536,10/1/08,Fill Failure,0,0
LS_175,-122.2702652,44.4028684,10/1/08,Rockfall,0,0
LS_176,-122.2691836,44.402531,10/1/08,Fill Failure,0,0
LS_177,-122.2665735,44.40026445,10/1/08,Rockfall,0,0
LS_178,-122.2651465,44.40020106,10/1/08,Rockfall,0,0
LS_179,-122.2641624,44.4000604,10/1/08,Landslide,0,0
LS_180,-122.2635743,44.40007021,10/1/08,Landslide,0,0
LS_181,-122.2618213,44.39951985,10/1/08,Landslide,0,0
LS_182,-122.2609966,44.39825578,10/1/08,Landslide,0,0
LS_183,-122.2579758,44.39808507,10/1/08,Landslide,0,0
LS_184,-122.2572183,44.39777346,10/1/08,Landslide,0,0
LS_185,-122.2567963,44.39752369,10/1/08,Landslide,0,0
LS_186,-122.254559,44.39722248,10/1/08,Landslide,0,0
LS_187,-122.253561,44.39695173,10/1/08,Landslide,0,0
LS_188,-122.252739,44.39668825,10/1/08,Landslide,0,0
LS_189,-122.2520724,44.39640946,10/1/08,Landslide,0,0
LS_190,-122.2306059,44.40180707,5/6/08,Landslide,25000,4980190
LS_191,-122.2233214,44.40641656,8/17/07,Landslide,19834.5,332929
LS_192,-121.9256794,44.43215005,6/28/06,Landslide,0,0
LS_193,-121.9252074,44.43098322,6/28/06,Rockfall,0,0
LS_194,-121.9224166,44.42897971,6/28/06,Rockfall,0,0
LS_195,-121.8776218,44.42086201,6/22/06,Rockfall,134000,11316000
LS_196,-121.8705901,44.41964036,6/22/06,Rockfall,0,0
LS_197,-121.8148343,44.42447803,6/28/06,Rockfall,0,0
LS_198,-121.7652234,44.41849778,6/21/06,Rockfall,6130,1923540
LS_199,-121.7625655,44.41927268,6/21/06,Rockfall,935.6799927,97029.39844
LS_200,-121.7617213,44.41969251,6/21/06,Rockfall,610.8800049,22103.5
LS_201,-121.7609364,44.4200273,6/21/06,Rockfall,935.6799927,417042
LS_202,-121.7593806,44.42059658,6/16/06,Rockfall,0,0
LS_203,-121.7579735,44.42098838,6/16/06,Rockfall,0,0
LS_204,-121.7525656,44.4224695,6/16/06,Rockfall,0,0
LS_205,-121.7510542,44.42286819,6/15/06,Rockfall,0,0
LS_206,-121.7495616,44.42317393,6/15/06,Rockfall,0,0
LS_207,-121.7470034,44.42373585,6/15/06,Rockfall,0,0
LS_208,-121.7369559,44.42607905,6/28/06,Rockfall,0,0
LS_209,-120.2891697,42.42334545,7/19/07,Fill Failure,0,0
LS_210,-120.2981078,41.99909578,7/20/07,Landslide,0,0
LS_211,-121.6644493,45.30570039,9/26/07,Rockfall,414.480011,51107.19922
LS_212,-121.6623416,45.3080947,9/26/07,Rockfall,708.6799927,112343
LS_213,-121.6619858,45.31040994,9/26/07,Rockfall,414.480011,23982.59961
LS_214,-121.6617963,45.31169793,9/26/07,Rockfall,708.6799927,66345.5
LS_215,-121.661436,45.31278052,9/26/07,Rockfall,414.480011,118392
LS_216,-121.6574484,45.31327904,9/26/07,Rockfall,708.6799927,148161
LS_217,-121.652173,45.30888064,9/26/07,Rockfall,974.2999878,401870
LS_218,-121.6444414,45.31043178,9/18/07,Rockfall,1915.900024,330922
LS_219,-121.6405651,45.31477091,9/18/07,Rockfall,708.6799927,145734
LS_220,-121.6381025,45.31728259,9/18/07,Rockfall,708.6799927,69790.29688
LS_221,-121.6337373,45.31761422,9/18/07,Rockfall,736.3300171,66202
LS_222,-121.6320634,45.31808309,9/18/07,Rockfall,491.980011,37191
LS_223,-121.5682127,45.34611909,9/18/07,Rockfall,1127.560059,30062.69922
LS_224,-121.5672165,45.3790667,9/18/07,Rockfall,846.3200073,314102
LS_225,-121.5675146,45.38132607,9/18/07,Rockfall,846.3200073,178374
LS_226,-121.5681232,45.38471701,9/18/07,Rockfall,773.2199707,37191
LS_227,-121.5689215,45.38901533,9/18/07,Rockfall,773.2199707,183841
LS_228,-121.5699261,45.39397283,9/18/07,Rockfall,2333.790039,454788
LS_229,-121.5701066,45.39481433,9/18/07,Rockfall,1692.640015,89478.20313
LS_230,-121.5708776,45.39564615,9/18/07,Rockfall,1692.640015,107111
LS_231,-121.571472,45.39692231,9/18/07,Rockfall,1830.280029,979844
LS_232,-121.5695744,45.40343529,9/17/07,Rockfall,1692.640015,313294
LS_233,-121.570869,45.41118873,9/17/07,Rockfall,5674.600098,80824.10156
LS_234,-121.5709363,45.41161877,9/17/07,Rockfall,5674.600098,38273.19922
LS_235,-121.5710824,45.41267431,9/17/07,Rockfall,223.0500031,39716.5
LS_236,-121.5707165,45.41393513,9/17/07,Rockfall,223.0500031,60052.60156
LS_237,-121.5699605,45.41532638,9/17/07,Rockfall,1692.640015,329752
LS_238,-121.5700048,45.41599694,9/17/07,Rockfall,983.960022,40742.60156
LS_239,-121.576013,45.43904297,8/29/07,Rockfall,754.5599976,36558.30078
LS_240,-121.5786372,45.44380832,8/29/07,Rockfall,754.5599976,304447
LS_241,-121.5794436,45.4444589,9/17/07,Landslide,1463.23999,25662.40039
LS_242,-121.5699865,45.41629136,9/18/07,Fill Failure,0,0
LS_243,-121.5818482,45.45903809,9/17/07,Rockfall,754.5599976,1057790
LS_244,-121.5777136,45.46331676,8/29/07,Rockfall,1108.900024,371263
LS_245,-121.5621595,45.49941169,9/25/07,Rockfall,1692.640015,107851
LS_246,-121.5446645,45.60108632,9/25/07,Fill Failure,0,0
LS_247,-121.5125455,45.64730823,9/25/07,Fill Failure,0,0
LS_248,-121.5107359,45.67551799,9/25/07,Fill Failure,0,15687
LS_249,-121.5065045,45.69011402,9/25/07,Rockfall,223.0500031,27931.09961
LS_250,-121.5049922,45.69561183,9/25/07,Fill Failure,0,0
LS_251,-121.5017486,45.7056613,9/25/07,Fill Failure,0,0
LS_252,-121.5016624,45.70593588,9/25/07,Rockfall,1692.640015,225389
LS_253,-121.5017034,45.70529257,9/25/07,Fill Failure,511.2200012,346146
LS_254,-118.9821994,45.11094046,11/14/07,Rockfall,3582.459961,340368
LS_255,-118.978653,45.03622056,11/14/07,Rockfall,4038.800049,468802
LS_256,-118.9806812,45.0317189,11/14/07,Rockfall,1650.959961,47172.10156
LS_257,-123.3791709,45.00697292,7/25/06,Landslide,0,0
LS_258,-123.1120136,44.93149531,6/14/06,Landslide,0,0
LS_259,-123.0907896,44.93117309,6/14/06,Landslide,3002.629883,1350790
LS_260,-123.762859,45.08936345,7/25/06,Landslide,0,0
LS_261,-119.0215324,45.8852305,10/17/07,Landslide,1422.380005,81794.79688
LS_262,-118.994522,45.89272278,10/17/07,Landslide,1207.609985,40832.39844
LS_263,-118.9883347,45.89414798,10/17/07,Landslide,1207.609985,47693.89844
LS_264,-118.9824957,45.89109825,10/17/07,Landslide,1207.609985,63396.5
LS_265,-118.9782809,45.8894622,10/17/07,Landslide,1207.609985,191832
LS_266,-118.9758602,45.889413,10/17/07,Landslide,1207.609985,70154
LS_267,-118.9729832,45.89020702,10/17/07,Fill Failure,0,0
LS_268,-118.9723275,45.89015559,10/17/07,Landslide,1207.609985,250809
LS_269,-118.971901,45.89015282,10/17/07,Fill Failure,0,0
LS_270,-118.9714869,45.89006558,10/17/07,Fill Failure,0,0
LS_271,-118.9698961,45.88939155,10/17/07,Landslide,1207.609985,94888.89844
LS_272,-118.9697974,45.8857742,10/17/07,Landslide,1422.380005,411213
LS_273,-118.9671448,45.88453188,10/17/07,Landslide,986.5,48141.30078
LS_274,-118.9664529,45.88320706,10/17/07,Rockfall,771.7299805,213308
LS_275,-118.9662453,45.88190079,10/17/07,Landslide,771.7299805,53063.39844
LS_276,-118.9664111,45.88067684,10/17/07,Landslide,771.7299805,16704.19922
LS_277,-118.960257,45.87741126,10/17/07,Landslide,986.5,139544
LS_278,-118.9292796,45.87087808,10/17/07,Landslide,771.7299805,15711.7998
LS_279,-118.928602,45.87071424,10/17/07,Fill Failure,771.7299805,47662.80078
LS_280,-118.9274906,45.87014681,10/17/07,Landslide,771.7299805,29267.5
LS_281,-118.9249335,45.86774853,10/17/07,Landslide,771.7299805,27561.59961
LS_282,-118.9225219,45.86605554,10/17/07,Landslide,771.7299805,136418
LS_283,-118.9188718,45.86411495,10/17/07,Landslide,771.7299805,34149.10156
LS_284,-118.9178064,45.86288824,10/17/07,Landslide,771.7299805,99554.39844
LS_285,-118.9112689,45.86040893,10/17/07,Landslide,771.7299805,0
LS_286,-118.9050458,45.85500156,10/17/07,Rockfall,986.5,0
LS_287,-118.9049109,45.85503408,10/17/07,Fill Failure,0,0
LS_288,-118.9020865,45.85292838,10/17/07,Landslide,771.7299805,213916
LS_289,-118.889461,45.8412047,10/17/07,Landslide,771.7299805,0
LS_290,-123.6097464,45.52801124,8/9/06,Debris Flow,0,0
LS_291,-123.6058698,45.53130857,8/9/06,Debris Flow,0,0
LS_292,-123.4610631,45.6069419,7/1/08,Rockfall,917.2199707,0
LS_293,-123.4538799,45.60671657,7/1/08,Landslide,120.2799988,69495.60156
LS_294,-123.4532618,45.60671195,7/1/08,Rockfall,23.84000015,148700
LS_295,-123.4463289,45.60555992,7/1/08,Fill Failure,0,0
LS_296,-123.4457573,45.60540281,7/1/08,Rockfall,240.5599976,647566
