,Lat,Long,UNIQUE_ID,TYPE_MOVE,Annual_Cos,Repair_Cos
0,3288203.60718,-636311.249182,LS_0, ,47.68000031,1285220.0
1,3304280.65406,-639933.887525,LS_1, ,237.1100006,98678.60156
2,3322430.85011,-646514.643661,LS_2, ,47.68000031,13793600.0
3,3340042.56418,-639068.167862,LS_3, ,246.2599945,98678.60156
4,3345266.98414,-637102.068767,LS_4, ,47.68000031,2592600.0
