X,Y,UNIQUE_ID,TYPE_MOVE,Annual_Cos,Repair_Cos
174701.5569,433583.4962,LS_317, ,2495.199951,596650
174861.9637,433585.7486,LS_318, ,0,0
174946.1566,433629.8925,LS_319, ,481.1199951,593037
174945.9128,433616.6642,LS_320, ,0,0
175010.2674,433654.8081,LS_321, ,0,0
175065.4144,433699.2385,LS_322, ,0,0
175129.4803,433777.0634,LS_323, ,802.5999756,288169
175135.9171,433765.9391,LS_324, ,827.5200195,0
175198.1469,433826.5364,LS_325, ,0,0
175271.4382,433889.0734,LS_326, ,0,0
175384.117,433940.2703,LS_327, ,0,0
175993.6454,434474.9654,LS_328, ,4858.149902,1436560
176062.6891,434517.7459,LS_329, ,0,0
176146.9001,434569.9591,LS_330, ,0,0
176238.9043,434640.8053,LS_331, ,1863.329956,1153920
176264.2248,434681.3114,LS_332, ,0,0
176301.5242,434826.1036,LS_333, ,0,0
176697.5526,435156.779,LS_334, ,5471.180176,499656
176787.3082,435214.1024,LS_335, ,4701.97998,0
176923.3673,435338.7083,LS_336, ,0,0
176956.0639,435360.7072,LS_337, ,0,0
177110.702,435526.5181,LS_338, ,10881.09961,597662
177224.5221,435780.8387,LS_339, ,0,0
177405.744,436129.8883,LS_340, ,0,95805.10156
177449.262,436210.4372,LS_341, ,3127.149902,0
195227.3025,178006.2009,LS_342, ,0,0
195958.8292,178324.9881,LS_343, ,777.539978,358692
196156.6946,178728.2269,LS_344, ,800.0499878,216337
196219.002,178832.893,LS_345, ,726.3900146,169430
196964.9501,179028.4302,LS_346, ,240.5599976,226001
197215.1665,178783.6836,LS_347, ,1069.25,171133
197211.6044,178614.5859,LS_348, ,0,0
197227.8643,178316.7982,LS_349, ,267.7799988,79521
197780.481,177985.7016,LS_350, ,0,0
199505.1762,177119.7044,LS_351, ,240.5599976,29653.80078
199778.346,176907.4288,LS_352, ,0,0
199945.5124,176787.9949,LS_353, ,0,0
200027.0876,176328.7432,LS_354, ,1398.650024,816240
200305.1674,176122.1303,LS_355, ,0,0
200822.7764,175645.3116,LS_356, ,0,0
200960.4861,175503.5513,LS_357, ,472.2200012,203808
201015.1405,175448.4526,LS_358, ,0,0
201451.0656,175172.671,LS_359, ,726.3900146,174333
201663.232,175124.1865,LS_360, ,0,0
201697.5755,175125.8404,LS_361, ,267.7799988,95625.29688
201814.2794,175146.7786,LS_362, ,240.6549988,766285
201941.3199,175167.4501,LS_363, ,0,0
202103.6168,175165.7206,LS_364, ,6131.970215,1091000
202144.2581,175159.0263,LS_365, ,5164.169922,1487340
202237.4735,175113.3056,LS_366, ,0,0
202319.8437,175078.3406,LS_367, ,384.2399902,184246
414088.8033,55920.69,LS_368, ,946.3400269,13107.5
414830.1193,55576.2863,LS_369, ,0,0
414841.3481,55568.78931,LS_370, ,0,0
414892.8557,55595.84611,LS_371, ,946.3400269,123185
415691.1634,54821.3647,LS_372, ,946.3400269,19909.90039
415794.334,54648.23171,LS_373, ,1971.98999,112713
416620.6547,54237.89499,LS_374, ,1971.98999,69389.39844
441386.8754,48814.65321,LS_375, ,8087.52002,207078
442005.3082,48495.8553,LS_376, ,2695.840088,159167
442515.3584,48230.01499,LS_377, ,5391.680176,399837
442971.5608,47930.35419,LS_378, ,1187.959961,242706
443369.6253,48049.50331,LS_379, ,4043.76001,120218
445321.8821,47226.3209,LS_380, ,883.6599731,9022.849609
445418.8189,47266.91428,LS_381, ,1361.109985,270877
445618.3888,47323.3698,LS_382, ,896.460022,190608
445727.5825,47294.97701,LS_383, ,784.7849731,67199.60156
177581.5429,436278.3905,LS_384, ,7595.899902,3180760
177710.396,436377.374,LS_385, ,0,2110040
177880.2803,436547.6161,LS_386, ,0,0
178222.4679,436682.2231,LS_387, ,6972.47998,1826730
178666.9769,437018.5312,LS_388, ,1362.150024,6166110
178694.4875,437019.6312,LS_389, ,0,0
178929.7798,437027.0296,LS_390, ,0,0
178983.857,437031.9226,LS_391, ,0,0
179273.3001,436966.5055,LS_392, ,0,0
181032.675,437430.9762,LS_393, ,0,0
181100.9665,437487.8827,LS_394, ,0,0
189105.9185,433426.3964,LS_395, ,0,0
189140.8995,433402.1179,LS_396, ,0,0
189367.5742,433161.6298,LS_397, ,0,0
191238.9424,432806.8179,LS_398, ,0,0
191336.0374,432794.4199,LS_399, ,0,0
191422.8535,432783.3794,LS_400, ,0,0
191497.4987,432773.8139,LS_401, ,0,0
191627.449,432757.3617,LS_402, ,0,0
192030.4795,432694.3723,LS_403, ,0,0
192638.6722,432374.4722,LS_404, ,0,0
192983.6535,432338.5308,LS_405, ,0,0
193191.9466,432338.2513,LS_406, ,0,0
193399.4757,432327.0316,LS_407, ,0,0
144731.2031,373018.6913,LS_408, ,0,0
145642.5754,373112.7468,LS_409, ,0,0
149225.7768,372421.8655,LS_410, ,90000,1244030
391910.5397,285551.447,LS_411, ,3795.580078,1588270
409084.2363,305704.5595,LS_412, ,1180.76001,4522.339844
409089.0439,305695.6557,LS_413, ,1180.76001,43449.80078
409289.7596,305846.4604,LS_414, ,1180.76001,27995
409430.6708,305994.1311,LS_415, ,1180.76001,212152
409724.1706,306199.6386,LS_416, ,2593.159912,270782
409922.2541,306541.6906,LS_417, ,1039.599976,581212
409983.7859,306843.5843,LS_418, ,2065.939941,147435
409991.5336,307106.3195,LS_419, ,3861.280029,764117
410531.1323,308507.8999,LS_420, ,2724,428272
410536.9607,308531.1385,LS_421, ,947.8400269,36051.69922
410793.744,308589.4842,LS_422, ,1233.920044,156322
410879.0152,308606.0833,LS_423, ,1043.380005,260091
410887.9864,308884.8915,LS_424, ,1032.969971,391271
410893.616,308890.5349,LS_425, ,2749.600098,1158870
410995.453,309675.9868,LS_426, ,1104.839966,5122.399902
410991.0682,309690.6212,LS_427, ,1179.47998,458429
411116.7458,309974.9139,LS_428, ,2892.639893,194612
411152.8408,310097.2762,LS_429, ,705.5599976,12996.2998
411125.1348,310276.6629,LS_430, ,705.5599976,145751
411201.6572,310453.6215,LS_431, ,705.5599976,108232
411413.371,310572.011,LS_432, ,930.2600098,370809
411413.1878,310572.3048,LS_433, ,589.7399902,31467.90039
411644.3875,310709.235,LS_434, ,589.7399902,235899
411707.0416,310801.348,LS_435, ,1148.790039,162759
411917.6203,311019.0322,LS_436, ,236.9600067,313379
412162.5514,311113.1755,LS_437, ,236.9600067,21092.09961
412361.9373,311189.9982,LS_438, ,236.9600067,28058
412505.1165,311245.9381,LS_439, ,236.9600067,29402.40039
412771.4059,311171.4328,LS_440, ,473.9200134,23777
412862.5228,311075.3812,LS_441, ,1592.02002,351278
413225.3153,310973.5686,LS_442, ,4792.419922,438251
414159.3703,311542.8743,LS_443, ,2467.840088,836351
414154.8175,311549.1465,LS_444, ,2467.840088,644710
414528.2158,311837.3224,LS_445, ,2181.76001,433881
414529.8931,311828.2546,LS_446, ,473.9200134,95988.20313
414924.3445,312086.9941,LS_447, ,1707.839966,682438
415223.2217,312329.126,LS_448, ,975.0599976,234315
415338.0953,312409.5533,LS_449, ,1063.660034,227867
456901.8297,310878.9635,LS_450, ,1063.660034,725636
460672.8479,309216.5127,LS_451, ,760,126523
460764.4074,309166.5209,LS_452, ,1233.920044,30112.90039
461630.1683,308600.9444,LS_453, ,1411.300049,190600
374931.7917,434904.4381,LS_454, ,4531.879883,816013
375041.951,434647.7422,LS_455, ,6344,4677830
377658.3865,432666.8928,LS_456, ,4748.049805,907025
384025.4442,365393.449,LS_457, ,236.9600067,73443.89844
383513.7841,365311.2625,LS_458, ,236.9600067,27570.69922
383191.3764,365319.9215,LS_459, ,236.9600067,97704.5
382880.5249,365364.3833,LS_460, ,236.9600067,55617.39844
163247.0658,460830.9766,LS_461, ,628.289978,1650060
163987.3723,460328.7769,LS_462, ,0,0
164655.4576,459834.7055,LS_463, ,9001,1312620
164783.4842,459790.789,LS_464, ,8568.25,965612
164913.8522,459580.6492,LS_465, ,15419.2002,12935500
165180.9547,459128.5513,LS_466, ,0,0
165883.2399,458534.5735,LS_467, ,1042.030029,537973
166537.1138,457631.8224,LS_468, ,0,0
166819.8312,457551.2152,LS_469, ,0,0
166978.2945,457496.7329,LS_470, ,0,0
167025.2491,457490.2946,LS_471, ,0,0
167224.2175,457345.8261,LS_472, ,0,0
167306.1504,457257.6996,LS_473, ,0,0
167358.5945,456661.2873,LS_474, ,0,0
167353.6118,456606.2877,LS_475, ,0,0
167349.9267,456516.0178,LS_476, ,0,0
167356.5391,456419.4868,LS_477, ,223.2850037,1589040
167379.5332,456288.253,LS_478, ,0,0
167561.113,455898.0599,LS_479, ,0,0
168121.8841,455378.4009,LS_480, ,0,0
170296.9834,453157.3556,LS_481, ,0,0
170529.0839,453056.1644,LS_482, ,0,0
172055.7148,451959.0423,LS_483, ,0,0
174086.0863,451166.9659,LS_484, ,0,0
174810.962,450931.6908,LS_485, ,0,0
175619.1504,450902.2861,LS_486, ,731.7000122,1574810
175824.7319,450951.0821,LS_487, ,645.1500244,1265170
177992.8747,451614.1215,LS_488, ,0,0
180659.4743,450397.6345,LS_489, ,0,0
181063.8392,449723.1246,LS_490, ,966.9500122,1715700
183895.4805,448004.2087,LS_491, ,0,0
183909.1074,447965.4814,LS_492, ,0,0
183936.837,447923.2261,LS_493, ,8072.600098,1258050
183993.8385,447804.9015,LS_494, ,0,0
184078.4771,447667.9186,LS_495, ,0,0
184176.5516,447489.9437,LS_496, ,0,0
184295.7805,447291.8566,LS_497, ,0,0
184332.6984,447235.4089,LS_498, ,0,0
184473.8059,447120.6273,LS_499, ,0,0
185019.511,446707.9034,LS_500, ,0,0
186204.0268,445488.4191,LS_501, ,0,0
186668.5235,445179.8688,LS_502, ,0,0
186837.6861,444763.134,LS_503, ,0,0
187207.1386,443463.3922,LS_504, ,0,0
187219.8125,443440.5242,LS_505, ,0,0
187241.4913,443429.2363,LS_506, ,0,0
187291.7891,443375.6015,LS_507, ,0,0
187616.7047,442866.8589,LS_508, ,0,0
187904.4747,442779.827,LS_509, ,0,0
188231.2092,442488.7847,LS_510, ,0,0
188553.7771,442056.0242,LS_511, ,0,0
188632.7784,441922.2447,LS_512, ,0,0
188739.8462,441612.1123,LS_513, ,0,0
188831.9088,441297.5846,LS_514, ,0,0
189011.7362,441115.9064,LS_515, ,336.5360107,1754920
196041.4091,435226.6467,LS_516, ,0,139772
227151.8928,419750.9745,LS_517, ,0,11519
227469.8951,420025.4045,LS_518, ,0,20450
228152.2327,420749.5483,LS_519, ,5250,324635
228156.7389,420878.4504,LS_520, ,5250,379064
227960.536,420458.3583,LS_521, ,14762,1166500
523839.4183,289295.8217,LS_522, ,4741.740234,782426
523733.4238,289118.6335,LS_523, ,1703.219971,79011.89844
521890.3006,281754.1131,LS_524, ,14400.09961,655431
522085.5582,259413.5196,LS_525, ,1051.829956,62755
522088.0408,259296.3156,LS_526, ,1154.130005,35442.60156
522094.1521,259189.5089,LS_527, ,1154.130005,36191
441835.9196,141034.1673,LS_528, ,2292.5,85890
433793.8502,115758.7223,LS_529, ,0,0
425833.6254,96996.39881,LS_530, ,0,0
424078.684,89378.88071,LS_531, ,0,0
